"Gen1","Gene2","Symbol1","Symbol2","Table Names","Weighted Correlation","Confidence"
"FBgn0052016","FBgn0266000","4E-T","CG44774","PPI: Curagen two-hybrid",".3898",".41"
"FBgn0052016","FBgn0032303","4E-T","CG6508","PPI: Curagen two-hybrid",".4018",".322"
"FBgn0011294","FBgn0030507","a5","CG11164","PPI: Curagen two-hybrid","-",".425"
"FBgn0011294","FBgn0259111","a5","Ndae1","PPI: Curagen two-hybrid","-",".404"
"FBgn0027084","FBgn0050185","Aats-lys","CG30185","PPI: DPiM coAP complex",".3538",".432"
"FBgn0000017","FBgn0014007","Abl","Ptp69D","PPI: Flybase Curated PPI",".5684",".353"
"FBgn0015331","FBgn0262975","abs","cnc","PPI: Curagen two-hybrid","-.4003",".411"
"FBgn0023415","FBgn0030976","Acp32CD","CG7378","PPI: Finley lab two-hybrid",".339",".375"
"FBgn0020509","FBgn0024250","Acp62F","brk","PPI: Curagen two-hybrid","-.2301",".43"
"FBgn0000043","FBgn0266084","Act42A","Fhos","PPI: Finley lab two-hybrid|PPI: From other databases","-.0288",".208"
"FBgn0000043","FBgn0011771","Act42A","Hem","PPI: From other databases",".6894",".228"
"FBgn0000042","FBgn0011771","Act5C","Hem","PPI: From other databases",".4224",".188"
"FBgn0037555","FBgn0036964","Ada2b","FRG1","PPI: Curagen two-hybrid",".4982",".303"
"FBgn0037555","FBgn0037981","Ada2b","Spt3","PPI: Flybase Curated PPI|PPI: From other databases",".5914",".244"
"FBgn0030891","FBgn0037981","Ada3","Spt3","PPI: Flybase Curated PPI|PPI: From other databases",".8456",".383"
"FBgn0038172","FBgn0046294","Adgf-D","CG12699","PPI: Finley lab two-hybrid",".2584",".339"
"FBgn0026602","FBgn0038921","Ady43A","CG6332","PPI: Curagen two-hybrid",".1798",".415"
"FBgn0005694","FBgn0035144","Aef1","Kah","PPI: Curagen two-hybrid","-.2329",".361"
"FBgn0035657","FBgn0038575","alphaKap4","CG7208","PPI: Curagen two-hybrid",".5549",".413"
"FBgn0035657","FBgn0259481","alphaKap4","Mob2","PPI: Curagen two-hybrid",".1739",".411"
"FBgn0035657","FBgn0026196","alphaKap4","nop5","PPI: Curagen two-hybrid","-.4395",".31"
"FBgn0035657","FBgn0031284","alphaKap4","PGAP2","PPI: Curagen two-hybrid","-.2869",".342"
"FBgn0250791","FBgn0029663","alphaSnap","CG10804","PPI: Finley lab two-hybrid|PPI: From other databases",".4473",".381"
"FBgn0004372","FBgn0033749","aly","achi","PPI: From other databases",".4955",".428"
"FBgn0003270","FBgn0261456","amos","hpo","PPI: Finley lab two-hybrid|PPI: Hybrigenics two-hybrid",".6186",".444"
"FBgn0003270","FBgn0050417","amos","tbrd-3","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.0648",".415"
"FBgn0027356","FBgn0263072","Amph","CG43347","PPI: Hybrigenics two-hybrid",".2043",".301"
"FBgn0032536","FBgn0034997","Ance-3","CG3376","PPI: Curagen two-hybrid","-.0933",".417"
"FBgn0000083","FBgn0032140","AnxB9","CG13117","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.3121",".48"
"FBgn0000097","FBgn0033609","aop","Fbl6","PPI: From other databases",".6477",".399"
"FBgn0031458","FBgn0053198","aph-1","pen-2","PPI: Flybase Curated PPI",".3362",".478"
"FBgn0000108","FBgn0040281","Appl","Aplip1","PPI: Flybase Curated PPI|PPI: From other databases",".9",".49"
"FBgn0013750","FBgn0050043","Arf51F","CG30043","PPI: Hybrigenics two-hybrid","-.0821",".343"
"FBgn0025186","FBgn0034601","ari-2","CG4286","PPI: Curagen two-hybrid","-.2568",".379"
"FBgn0038576","FBgn0003495","Arp5","spz","PPI: Curagen two-hybrid","-.1559",".292"
"FBgn0011741","FBgn0034054","Arp6","CG8366","PPI: Curagen two-hybrid",".5095",".369"
"FBgn0029095","FBgn0036382","aru","CG13737","PPI: Curagen two-hybrid",".4509",".386"
"FBgn0029095","FBgn0036639","aru","CG4229","PPI: Curagen two-hybrid",".1082",".411"
"FBgn0029095","FBgn0030737","aru","CG9914","PPI: Curagen two-hybrid","-.2284",".387"
"FBgn0036790","FBgn0036837","AstC-R1","CG18135","PPI: Curagen two-hybrid","-.0818",".385"
"FBgn0020407","FBgn0030373","asun","CG12721","PPI: Curagen two-hybrid",".6922",".404"
"FBgn0029943","FBgn0032229","Atg5","CG5045","PPI: Curagen two-hybrid","-.4026",".389"
"FBgn0010750","FBgn0034722","atms","Rtf1","PPI: From other databases",".7063",".697"
"FBgn0016120","FBgn0039038","ATPsynD","CG6688","PPI: Curagen two-hybrid",".224",".3"
"FBgn0012042","FBgn0034651","AttA","CG15676","PPI: Curagen two-hybrid",".0259",".386"
"FBgn0012042","FBgn0034033","AttA","CG8204","PPI: Curagen two-hybrid",".0711",".424"
"FBgn0012042","FBgn0027657","AttA","glob1","PPI: Curagen two-hybrid",".0403",".416"
"FBgn0012042","FBgn0024314","AttA","Plap","PPI: Curagen two-hybrid",".2537",".362"
"FBgn0004870","FBgn0038466","bab1","CG8907","PPI: Curagen two-hybrid","-.1947",".399"
"FBgn0004870","FBgn0263391","bab1","hts","PPI: Curagen two-hybrid","-.0744",".427"
"FBgn0004870","FBgn0011715","bab1","Snr1","PPI: Curagen two-hybrid","-.0229",".392"
"FBgn0004870","FBgn0250785","bab1","vari","PPI: Curagen two-hybrid",".1157",".4"
"FBgn0025463","FBgn0033732","Bap60","CG13157","PPI: Curagen two-hybrid","-.1649",".348"
"FBgn0037081","FBgn0035547","barc","CG15022","PPI: Curagen two-hybrid","-.1648",".39"
"FBgn0000163","FBgn0021776","baz","mira","PPI: Flybase Curated PPI|PPI: From other databases",".5883",".386"
"FBgn0000166","FBgn0004055","bcd","uzip","PPI: Curagen two-hybrid",".0878",".382"
"FBgn0013432","FBgn0032393","bcn92","CG12264","PPI: Flybase Curated PPI|PPI: DPiM coAP complex",".0151",".637"
"FBgn0013432","FBgn0039855","bcn92","CG1638","PPI: Finley lab two-hybrid","-.3648",".37"
"FBgn0013432","FBgn0038301","bcn92","CG6654","PPI: Finley lab two-hybrid",".6111",".373"
"FBgn0013432","FBgn0035855","bcn92","CG7366","PPI: Finley lab two-hybrid","-.401",".38"
"FBgn0013432","FBgn0033752","bcn92","CG8569","PPI: Finley lab two-hybrid",".386",".37"
"FBgn0013432","FBgn0032089","bcn92","Rcd-1r","PPI: Finley lab two-hybrid","-.0261",".333"
"FBgn0015602","FBgn0033358","BEAF-32","spab","PPI: Curagen two-hybrid","-.2429",".403"
"FBgn0038494","FBgn0027490","beat-IIb","D12","PPI: Curagen two-hybrid",".2138",".427"
"FBgn0038494","FBgn0034650","beat-IIb","NC2alpha","PPI: Curagen two-hybrid",".0263",".404"
"FBgn0038494","FBgn0284421","beat-IIb","Psn","PPI: Curagen two-hybrid",".0201",".37"
"FBgn0038494","FBgn0011291","beat-IIb","Taf11","PPI: Curagen two-hybrid",".2341",".314"
"FBgn0035696","FBgn0050428","Best2","CG30428","PPI: Curagen two-hybrid","-.3999",".461"
"FBgn0035696","FBgn0036386","Best2","CG8833","PPI: Curagen two-hybrid","-.1875",".414"
"FBgn0035696","FBgn0011695","Best2","EbpIII","PPI: Curagen two-hybrid",".4101",".434"
"FBgn0035696","FBgn0025334","Best2","PHDP","PPI: Curagen two-hybrid","-.0884",".387"
"FBgn0035696","FBgn0035471","Best2","Sc2","PPI: Curagen two-hybrid",".2166",".295"
"FBgn0260859","FBgn0260861","Bet3","Trs23","PPI: Flybase Curated PPI|PPI: DPiM coAP complex",".4195",".497"
"FBgn0260860","FBgn0260861","Bet5","Trs23","PPI: Flybase Curated PPI|PPI: From other databases",".543",".44"
"FBgn0028970","FBgn0033459","betaggt-II","CG12744","PPI: Curagen two-hybrid","-.0914",".414"
"FBgn0028970","FBgn0000358","betaggt-II","Cp19","PPI: Curagen two-hybrid","-.0624",".41"
"FBgn0028970","FBgn0004646","betaggt-II","ogre","PPI: Curagen two-hybrid",".0728",".446"
"FBgn0002906","FBgn0034570","Blm","CG10543","PPI: Hybrigenics two-hybrid",".1372",".396"
"FBgn0036118","FBgn0040684","Blos2","CG12589","PPI: Curagen two-hybrid","-.4406",".395"
"FBgn0036118","FBgn0263118","Blos2","tx","PPI: Curagen two-hybrid","-.0153",".41"
"FBgn0039560","FBgn0024491","BOD1","Bin1","PPI: Curagen two-hybrid",".8154",".434"
"FBgn0039560","FBgn0030086","BOD1","CCT2","PPI: Curagen two-hybrid","-.1258",".344"
"FBgn0039560","FBgn0039357","BOD1","CG4743","PPI: Curagen two-hybrid",".0362",".421"
"FBgn0039560","FBgn0033902","BOD1","eIF3m","PPI: Curagen two-hybrid",".7227",".427"
"FBgn0039560","FBgn0038149","BOD1","GILT1","PPI: Curagen two-hybrid",".0776",".434"
"FBgn0039560","FBgn0033367","BOD1","PPO2","PPI: Curagen two-hybrid","-.1347",".413"
"FBgn0039560","FBgn0028697","BOD1","RpL15","PPI: Curagen two-hybrid","-",".469"
"FBgn0039560","FBgn0036314","BOD1","Sf3a2","PPI: Curagen two-hybrid",".8251",".289"
"FBgn0010300","FBgn0021776","brat","mira","PPI: Flybase Curated PPI|PPI: From other databases",".5538",".399"
"FBgn0039654","FBgn0031740","Brd8","CG7239","PPI: Curagen two-hybrid",".7912",".355"
"FBgn0039654","FBgn0035077","Brd8","CG9083","PPI: Curagen two-hybrid","-.1382",".302"
"FBgn0039654","FBgn0032485","Brd8","CG9426","PPI: Curagen two-hybrid",".3062",".339"
"FBgn0039654","FBgn0034834","Brd8","LS2","PPI: Curagen two-hybrid","-.2076",".325"
"FBgn0039654","FBgn0040087","Brd8","p115","PPI: Curagen two-hybrid",".6225",".362"
"FBgn0039654","FBgn0040078","Brd8","pont","PPI: Flybase Curated PPI",".7597",".272"
"FBgn0259246","FBgn0085384","brp","CG34355","PPI: Curagen two-hybrid",".4947",".41"
"FBgn0000229","FBgn0040281","bsk","Aplip1","PPI: From other databases",".0974",".589"
"FBgn0031696","FBgn0036605","Bub1","CG13041","PPI: Curagen two-hybrid",".116",".378"
"FBgn0263855","FBgn0050101","BubR1","CG30101","PPI: Curagen two-hybrid","-",".326"
"FBgn0263855","FBgn0051472","BubR1","sgll","PPI: Curagen two-hybrid","-.2468",".312"
"FBgn0000244","FBgn0005613","by","Sox15","PPI: Curagen two-hybrid","-.111",".358"
"FBgn0000246","FBgn0022740","c(3)G","HLH54F","PPI: Curagen two-hybrid",".2137",".43"
"FBgn0021742","FBgn0037057","C901","CG10512","PPI: Curagen two-hybrid","-.0991",".397"
"FBgn0000251","FBgn0266000","cad","CG44774","PPI: Curagen two-hybrid","-.0968",".412"
"FBgn0000253","FBgn0035953","Cam","CG5087","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".0599",".333"
"FBgn0033504","FBgn0035657","CAP","alphaKap4","PPI: Finley lab two-hybrid|PPI: From other databases","-.2152",".398"
"FBgn0026144","FBgn0032483","CBP","CG15482","PPI: Curagen two-hybrid","-.1069",".406"
"FBgn0052183","FBgn0032819","Ccn","CG10463","PPI: Curagen two-hybrid","-.258",".321"
"FBgn0284436","FBgn0034065","CCT8","Rrp42","PPI: Finley lab two-hybrid",".7323",".278"
"FBgn0012058","FBgn0020251","Cdc27","sfl","PPI: Curagen two-hybrid",".2172",".33"
"FBgn0013435","FBgn0030894","Cdc2rk","Mvb12","PPI: Finley lab two-hybrid|PPI: From other databases",".5328",".382"
"FBgn0011573","FBgn0031785","Cdc37","CG13991","PPI: Finley lab two-hybrid",".1939",".344"
"FBgn0265574","FBgn0038431","Cdc5","CG10405","PPI: Curagen two-hybrid","-.1592",".329"
"FBgn0004107","FBgn0035657","Cdk2","alphaKap4","PPI: Finley lab two-hybrid|PPI: From other databases","-.2529",".317"
"FBgn0030269","FBgn0024249","CDK2AP1","cato","PPI: Curagen two-hybrid",".3512",".398"
"FBgn0004107","FBgn0039979","Cdk2","CR40282","PPI: Finley lab two-hybrid",".3961",".321"
"FBgn0004107","FBgn0034887","Cdk2","St1","PPI: Finley lab two-hybrid|PPI: From other databases","-.2302",".302"
"FBgn0016131","FBgn0033884","Cdk4","CG13344","PPI: Finley lab two-hybrid",".402",".381"
"FBgn0263237","FBgn0082831","Cdk7","pps","PPI: Curagen two-hybrid",".736",".439"
"FBgn0026141","FBgn0036567","Cdlc2","CG13074","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".7776",".378"
"FBgn0026141","FBgn0259163","Cdlc2","CG42268","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".2039",".507"
"FBgn0026141","FBgn0031317","Cdlc2","Charon","PPI: Curagen two-hybrid","-.1947",".369"
