"Gen1","Gene2","Symbol1","Symbol2","Table Names","Weighted Correlation","Confidence"
"FBgn0004907","FBgn0016036","14-3-3zeta","mei-P22","PPI: Curagen two-hybrid|PPI: From other databases","-.5419",".288"
"FBgn0052016","FBgn0040359","4E-T","CG11380","PPI: Curagen two-hybrid","-.1667",".396"
"FBgn0052016","FBgn0000157","4E-T","Dll","PPI: Curagen two-hybrid",".3574",".37"
"FBgn0052016","FBgn0005558","4E-T","ey","PPI: Curagen two-hybrid",".2723",".381"
"FBgn0028965","FBgn0000042","A16","Act5C","PPI: Curagen two-hybrid",".0554",".219"
"FBgn0028965","FBgn0038922","A16","CG6439","PPI: Curagen two-hybrid","-.4219",".454"
"FBgn0028965","FBgn0022338","A16","dnk","PPI: Curagen two-hybrid",".5586",".531"
"FBgn0028965","FBgn0003130","A16","Poxn","PPI: Curagen two-hybrid",".2166",".512"
"FBgn0028965","FBgn0004103","A16","Pp1-87B","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid|PPI: Flybase Curated PPI|PPI: DPiM coAP complex|PPI: From other databases",".3286",".476"
"FBgn0028965","FBgn0003134","A16","Pp1alpha-96A","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid|PPI: Flybase Curated PPI|PPI: From other databases",".1264",".466"
"FBgn0028965","FBgn0261602","A16","RpL8","PPI: Curagen two-hybrid","-.1097",".198"
"FBgn0028965","FBgn0036044","A16","Zasp67","PPI: Curagen two-hybrid","-.3025",".6"
"FBgn0027885","FBgn0263198","Aac11","Acn","PPI: Flybase Curated PPI|PPI: Hybrigenics two-hybrid|PPI: From other databases",".953",".55"
"FBgn0000014","FBgn0000157","abd-A","Dll","PPI: Flybase Curated PPI",".4835",".452"
"FBgn0000015","FBgn0260817","Abd-B","gkt","PPI: Curagen two-hybrid","-.1247",".38"
"FBgn0033246","FBgn0051999","ACC","CG31999","PPI: Finley lab two-hybrid","-.0998",".307"
"FBgn0027620","FBgn0043001","Acf","Chrac-16","PPI: Flybase Curated PPI|PPI: From other databases",".8931",".524"
"FBgn0002855","FBgn0050404","Acp26Aa","Tango11","PPI: Curagen two-hybrid",".0374",".396"
"FBgn0015583","FBgn0051999","Acp29AB","CG31999","PPI: Curagen two-hybrid","-.0899",".404"
"FBgn0015583","FBgn0011704","Acp29AB","RnrS","PPI: Curagen two-hybrid","-.1551",".326"
"FBgn0000045","FBgn0260049","Act79B","flr","PPI: From other databases","-.1845",".369"
"FBgn0000047","FBgn0260049","Act88F","flr","PPI: From other databases","-.1618",".369"
"FBgn0037555","FBgn0001226","Ada2b","Hsp27","PPI: Curagen two-hybrid",".1673",".269"
"FBgn0000052","FBgn0031451","ade2","CG9961","PPI: Curagen two-hybrid",".0047",".336"
"FBgn0036337","FBgn0011290","AdenoK","Taf12","PPI: Curagen two-hybrid","-.1738",".33"
"FBgn0038984","FBgn0043001","AdipoR","Chrac-16","PPI: Curagen two-hybrid","-.0868",".404"
"FBgn0041171","FBgn0032509","ago","CG6523","PPI: Hybrigenics two-hybrid",".1745",".354"
"FBgn0015011","FBgn0037074","AhcyL2","CG7324","PPI: Curagen two-hybrid","-.0872",".362"
"FBgn0033351","FBgn0051324","AIMP1","CG31324","PPI: Curagen two-hybrid","-.0459",".354"
"FBgn0033754","FBgn0266518","Ak6","Dpit47","PPI: Curagen two-hybrid",".7333",".354"
"FBgn0010379","FBgn0028509","Akt1","CenG1A","PPI: Finley lab two-hybrid",".3224",".421"
"FBgn0010379","FBgn0030459","Akt1","CG12723","PPI: Finley lab two-hybrid","-.2826",".302"
"FBgn0010379","FBgn0025674","Akt1","CycK","PPI: Finley lab two-hybrid",".574",".363"
"FBgn0010379","FBgn0024326","Akt1","Mkk4","PPI: Flybase Curated PPI",".57",".316"
"FBgn0010379","FBgn0028978","Akt1","trbl","PPI: Flybase Curated PPI",".1653",".558"
"FBgn0010379","FBgn0003980","Akt1","Vm26Ab","PPI: Finley lab two-hybrid",".0247",".322"
"FBgn0020764","FBgn0261112","Alas","APP-BP1","PPI: Curagen two-hybrid",".3016",".332"
"FBgn0260972","FBgn0052068","alc","Adi1","PPI: Curagen two-hybrid","-.0956",".33"
"FBgn0086346","FBgn0086656","ALiX","shrb","PPI: Flybase Curated PPI",".557",".542"
"FBgn0086346","FBgn0050263","ALiX","stum","PPI: Curagen two-hybrid",".1002",".326"
"FBgn0015577","FBgn0027547","alpha-Est9","CG1927","PPI: Curagen two-hybrid",".3762",".405"
