"Gen1","Gene2","Symbol1","Symbol2","Table Names","Weighted Correlation","Confidence"
"FBgn0010339","FBgn0014033","128up","Sr-CI","PPI: Curagen two-hybrid","-.1019",".401"
"FBgn0011273","FBgn0031585","Acam","CG2955","PPI: Curagen two-hybrid",".9988",".325"
"FBgn0030891","FBgn0000357","Ada3","Cp18","PPI: Curagen two-hybrid",".3355",".352"
"FBgn0038984","FBgn0053200","AdipoR","VepD","PPI: Curagen two-hybrid",".0932",".361"
"FBgn0004552","FBgn0032472","Akh","CG9928","PPI: Finley lab two-hybrid",".1645",".355"
"FBgn0015577","FBgn0027547","alpha-Est9","CG1927","PPI: Curagen two-hybrid",".3762",".405"
"FBgn0250791","FBgn0031939","alphaSnap","CG13796","PPI: Finley lab two-hybrid",".3441",".361"
"FBgn0086361","FBgn0040045","alph","CR12460","PPI: Curagen two-hybrid",".5225",".442"
"FBgn0028970","FBgn0004592","betaggt-II","Eig71Ee","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.16",".389"
"FBgn0004782","FBgn0030583","Ccp84Ab","CG14410","PPI: Finley lab two-hybrid","-.3365",".353"
"FBgn0011573","FBgn0031618","Cdc37","CG11931","PPI: Finley lab two-hybrid","-",".359"
"FBgn0004107","FBgn0024365","Cdk2","CG12773","PPI: Finley lab two-hybrid|PPI: From other databases",".2776",".313"
"FBgn0000279","FBgn0034802","CecC","CNBP","PPI: Curagen two-hybrid",".0668",".318"
"FBgn0035690","FBgn0033124","CG10274","Tsp42Ec","PPI: Curagen two-hybrid","-.2946",".366"
"FBgn0002036","FBgn0267689","CG10561","CG46025","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".5454",".368"
"FBgn0032836","FBgn0039380","CG10680","CG5890","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.1435",".439"
"FBgn0034289","FBgn0039380","CG10910","CG5890","PPI: Finley lab two-hybrid","-.0144",".402"
"FBgn0033178","FBgn0037383","CG11127","CG2023","PPI: Curagen two-hybrid",".2487",".435"
"FBgn0037120","FBgn0039107","CG11247","CG10300","PPI: Curagen two-hybrid","-.3611",".406"
"FBgn0034706","FBgn0033668","CG11275","exp","PPI: Curagen two-hybrid","-.122",".419"
"FBgn0031849","FBgn0003751","CG11327","trk","PPI: Curagen two-hybrid","-.1581",".379"
"FBgn0030540","FBgn0025709","CG11581","CNT2","PPI: Curagen two-hybrid",".1883",".418"
"FBgn0036992","FBgn0036359","CG11796","CG14105","PPI: Curagen two-hybrid",".7019",".417"
"FBgn0039642","FBgn0025827","CG11882","CG6421","PPI: Curagen two-hybrid","-.1318",".363"
"FBgn0031768","FBgn0031150","CG12393","bves","PPI: Finley lab two-hybrid|PPI: From other databases",".1572",".344"
"FBgn0040356","FBgn0265991","CG12498","Zasp52","PPI: Curagen two-hybrid",".198",".359"
"FBgn0040816","FBgn0050365","CG12521","spaw","PPI: Curagen two-hybrid",".9918",".364"
"FBgn0029707","FBgn0033701","CG12688","CG13171","PPI: Finley lab two-hybrid",".691",".354"
"FBgn0033523","FBgn0032911","CG12895","tadr","PPI: Curagen two-hybrid","-.2505",".363"
"FBgn0037042","FBgn0028856","CG12984","CG18063","PPI: Curagen two-hybrid",".9646",".366"
"FBgn0036679","FBgn0037424","CG13022","Osi15","PPI: Curagen two-hybrid",".302",".395"
"FBgn0032040","FBgn0035554","CG13386","CG13721","PPI: Finley lab two-hybrid",".1017",".354"
"FBgn0034758","FBgn0031786","CG13510","CG13989","PPI: Curagen two-hybrid","-.0212",".377"
"FBgn0034776","FBgn0042102","CG13527","CG18745","PPI: Finley lab two-hybrid","-.101",".452"
