"Gen1","Gene2","Symbol1","Symbol2","Table Names","Weighted Correlation","Confidence"
"FBgn0052016","FBgn0011279","4E-T","Obp69a","PPI: Curagen two-hybrid","-.3022",".364"
"FBgn0023130","FBgn0029928","a6","CG3032","PPI: Curagen two-hybrid",".4542",".441"
"FBgn0000015","FBgn0053207","Abd-B","pxb","PPI: Curagen two-hybrid",".8629",".546"
"FBgn0011273","FBgn0035139","Acam","CG13891","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".9946",".327"
"FBgn0015585","FBgn0046302","Acp63F","CG10650","PPI: Curagen two-hybrid","-.0024",".408"
"FBgn0015585","FBgn0031626","Acp63F","CG15631","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".3894",".401"
"FBgn0038172","FBgn0040718","Adgf-D","CG15353","PPI: Finley lab two-hybrid",".1542",".386"
"FBgn0038172","FBgn0050222","Adgf-D","CG30222","PPI: Finley lab two-hybrid",".3875",".354"
"FBgn0086361","FBgn0042133","alph","CG18810","PPI: Curagen two-hybrid","-.2521",".403"
"FBgn0013750","FBgn0038339","Arf51F","CG6118","PPI: Hybrigenics two-hybrid",".0198",".341"
"FBgn0011741","FBgn0038784","Arp6","CG4362","PPI: Curagen two-hybrid","-.2072",".372"
"FBgn0011741","FBgn0036940","Arp6","obst-J","PPI: Curagen two-hybrid","-.3277",".356"
"FBgn0036790","FBgn0031801","AstC-R1","CG9498","PPI: Curagen two-hybrid","-.1704",".398"
"FBgn0030093","FBgn0037483","Bap111","CG14609","PPI: Curagen two-hybrid","-.1094",".327"
"FBgn0034049","FBgn0051797","bdg","CG31797","PPI: Curagen two-hybrid",".1431",".385"
"FBgn0260859","FBgn0260860","Bet3","Bet5","PPI: DPiM coAP complex",".5271",".59"
"FBgn0260860","FBgn0260861","Bet5","Trs23","PPI: Flybase Curated PPI|PPI: From other databases",".543",".44"
"FBgn0028970","FBgn0263994","betaggt-II","CG43737","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".3629",".325"
"FBgn0002906","FBgn0051086","Blm","CG31086","PPI: Hybrigenics two-hybrid","-.085",".343"
"FBgn0000253","FBgn0028856","Cam","CG18063","PPI: Curagen two-hybrid","-.1549",".306"
"FBgn0031883","FBgn0051997","Caper","CG31997","PPI: Curagen two-hybrid","-.2388",".367"
"FBgn0011571","FBgn0032419","caz","CG17217","PPI: Finley lab two-hybrid","-.3787",".396"
"FBgn0039396","FBgn0031134","CCAP-R","CG1314","PPI: Curagen two-hybrid",".0944",".383"
"FBgn0004778","FBgn0037290","Ccp84Af","CG1124","PPI: Curagen two-hybrid",".1322",".381"
"FBgn0039774","FBgn0026192","CDase","par-6","PPI: Curagen two-hybrid","-.1945",".385"
"FBgn0011573","FBgn0035042","Cdc37","CG3640","PPI: Finley lab two-hybrid","-.1382",".377"
"FBgn0004106","FBgn0040878","Cdk1","CG15911","PPI: Finley lab two-hybrid","-",".268"
"FBgn0026141","FBgn0263240","Cdlc2","Coop","PPI: Curagen two-hybrid",".0111",".332"
