"Gen1","Gene2","Symbol1","Symbol2","Table Names","Weighted Correlation","Confidence"
"FBgn0020238","FBgn0026433","14-3-3epsilon","Grip128","PPI: From other databases",".0576",".158"
"FBgn0020238","FBgn0036059","14-3-3epsilon","nudE","PPI: Flybase Curated PPI",".3591",".236"
"FBgn0004907","FBgn0035208","14-3-3zeta","CG9184","PPI: Curagen two-hybrid",".2111",".278"
"FBgn0052016","FBgn0032444","4E-T","CCT4","PPI: Curagen two-hybrid",".3636",".342"
"FBgn0052016","FBgn0034372","4E-T","Gint3","PPI: Curagen two-hybrid",".1415",".392"
"FBgn0052016","FBgn0002781","4E-T","mod(mdg4)","PPI: Curagen two-hybrid",".6259",".435"
"FBgn0052016","FBgn0053113","4E-T","Rtnl1","PPI: Curagen two-hybrid",".3232",".389"
"FBgn0052016","FBgn0085443","4E-T","spri","PPI: Curagen two-hybrid",".1557",".398"
"FBgn0250791","FBgn0031106","?Snap","Syx16","PPI: DPiM coAP complex","-.0378",".497"
"FBgn0011293","FBgn0015218","a10","eIF4E1","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.1401",".242"
"FBgn0023130","FBgn0029928","a6","CG3032","PPI: Curagen two-hybrid",".4542",".441"
"FBgn0023130","FBgn0038209","a6","CG9722","PPI: Curagen two-hybrid","-.3318",".374"
"FBgn0023130","FBgn0086758","a6","chinmo","PPI: Curagen two-hybrid","-.2259",".44"
"FBgn0023130","FBgn0039840","a6","pHCl-2","PPI: Curagen two-hybrid","-.3554",".42"
"FBgn0023130","FBgn0002521","a6","pho","PPI: Curagen two-hybrid",".7358",".448"
"FBgn0023130","FBgn0038834","a6","RpS30","PPI: Curagen two-hybrid","-",".234"
"FBgn0023130","FBgn0031972","a6","Wwox","PPI: Curagen two-hybrid",".4784",".403"
"FBgn0027084","FBgn0036515","Aats-lys","CG12304","PPI: DPiM coAP complex",".7944",".661"
"FBgn0000014","FBgn0011648","abd-A","Mad","PPI: Flybase Curated PPI","-",".436"
"FBgn0000015","FBgn0034372","Abd-B","Gint3","PPI: Curagen two-hybrid",".0429",".406"
"FBgn0020510","FBgn0041781","Abi","SCAR","PPI: Flybase Curated PPI|PPI: From other databases",".5986",".523"
"FBgn0000017","FBgn0000464","Abl","Lar","PPI: Flybase Curated PPI|PPI: From other databases",".4869",".427"
"FBgn0011273","FBgn0033122","Acam","CG17002","PPI: Curagen two-hybrid","-.1203",".331"
"FBgn0000022","FBgn0002733","ac","E(spl)mbeta-HLH","PPI: Flybase Curated PPI|PPI: From other databases",".1854",".417"
"FBgn0000022","FBgn0002735","ac","E(spl)mgamma-HLH","PPI: Flybase Curated PPI|PPI: From other databases",".8884",".442"
"FBgn0023415","FBgn0027945","Acp32CD","ppl","PPI: Finley lab two-hybrid","-.1501",".379"
"FBgn0020509","FBgn0024250","Acp62F","brk","PPI: Curagen two-hybrid","-.2301",".43"
"FBgn0000022","FBgn0004170","ac","sc","PPI: From other databases",".885",".643"
"FBgn0000043","FBgn0000046","Act42A","Act87E","PPI: From other databases","-.1321",".572"
"FBgn0000043","FBgn0039219","Act42A","CG13630","PPI: Finley lab two-hybrid|PPI: From other databases","-.2134",".226"
"FBgn0000044","FBgn0000150","Act57B","awd","PPI: Flybase Curated PPI|PPI: From other databases",".1208",".181"
"FBgn0000042","FBgn0010355","Act5C","Taf1","PPI: From other databases",".1926",".176"
"FBgn0000045","FBgn0000046","Act79B","Act87E","PPI: From other databases",".5016",".706"
"FBgn0000046","FBgn0000047","Act87E","Act88F","PPI: From other databases",".5182",".711"
"FBgn0000046","FBgn0010217","Act87E","ATPsynbeta","PPI: Curagen two-hybrid",".5947",".382"
"FBgn0000046","FBgn0261458","Act87E","capt","PPI: From other databases","-.1077",".508"
"FBgn0000046","FBgn0040080","Act87E","pins","PPI: Curagen two-hybrid","-.1663",".304"
"FBgn0000046","FBgn0040078","Act87E","pont","PPI: Flybase Curated PPI","-.3433",".326"
"FBgn0000046","FBgn0003231","Act87E","ref(2)P","PPI: Curagen two-hybrid","-.1571",".294"
"FBgn0000046","FBgn0066084","Act87E","RpL41","PPI: Curagen two-hybrid","-.3089",".297"
"FBgn0000046","FBgn0015550","Act87E","tap","PPI: Curagen two-hybrid","-.1831",".261"
"FBgn0000047","FBgn0000308","Act88F","chic","PPI: From other databases","-.26",".499"
"FBgn0000667","FBgn0014863","Actn","Mlp84B","PPI: Flybase Curated PPI",".8308",".438"
"FBgn0028658","FBgn0019936","Adat1","RpS20","PPI: Curagen two-hybrid","-.3946",".262"
"FBgn0000008","FBgn0028969","a","deltaCOP","PPI: Curagen two-hybrid","-.1384",".352"
"FBgn0284249","FBgn0031740","Adf1","CG7239","PPI: Curagen two-hybrid",".8499",".468"
"FBgn0038172","FBgn0259245","Adgf-D","DIP-beta","PPI: Finley lab two-hybrid","-.0622",".392"
