"Gen1","Gene2","Symbol1","Symbol2","Table Names","Weighted Correlation","Confidence"
"FBgn0004907","FBgn0036717","14-3-3zeta","CG13731","PPI: Curagen two-hybrid",".1923",".276"
"FBgn0004907","FBgn0002593","14-3-3zeta","RpLP1","PPI: Curagen two-hybrid",".1648",".405"
"FBgn0004364","FBgn0029114","18w","Tollo","PPI: Flybase Curated PPI",".6821",".593"
"FBgn0260793","FBgn0087002","2mit","apolpp","PPI: Curagen two-hybrid",".1463",".424"
"FBgn0260793","FBgn0000117","2mit","arm","PPI: Curagen two-hybrid","-.1095",".357"
"FBgn0260793","FBgn0024841","2mit","Pcd","PPI: Curagen two-hybrid","-.1487",".417"
"FBgn0260793","FBgn0037874","2mit","Tctp","PPI: Curagen two-hybrid","-.3465",".388"
"FBgn0260793","FBgn0005642","2mit","wdn","PPI: Curagen two-hybrid","-.2457",".424"
"FBgn0052016","FBgn0263352","4E-T","Unr","PPI: Curagen two-hybrid",".7677",".46"
"FBgn0000015","FBgn0036716","Abd-B","CG13728","PPI: Curagen two-hybrid","-.0959",".456"
"FBgn0036372","FBgn0264607","Abp1","CaMKII","PPI: Curagen two-hybrid",".1074",".349"
"FBgn0011273","FBgn0000022","Acam","ac","PPI: Curagen two-hybrid","-.0525",".274"
"FBgn0000022","FBgn0267821","ac","da","PPI: Flybase Curated PPI|PPI: From other databases",".2687",".432"
"FBgn0000022","FBgn0002633","ac","E(spl)m7-HLH","PPI: Flybase Curated PPI|PPI: From other databases",".8186",".457"
"FBgn0000022","FBgn0002733","ac","E(spl)mbeta-HLH","PPI: Flybase Curated PPI|PPI: From other databases",".1854",".417"
"FBgn0000022","FBgn0002735","ac","E(spl)mgamma-HLH","PPI: Flybase Curated PPI|PPI: From other databases",".8884",".442"
"FBgn0033749","FBgn0034667","achi","comr","PPI: From other databases",".4931",".4"
"FBgn0000022","FBgn0002561","ac","l(1)sc","PPI: From other databases",".9884",".579"
"FBgn0000022","FBgn0004170","ac","sc","PPI: From other databases",".885",".643"
"FBgn0036337","FBgn0011290","AdenoK","Taf12","PPI: Curagen two-hybrid","-.1738",".33"
"FBgn0041171","FBgn0029820","ago","CG16721","PPI: Hybrigenics two-hybrid","-.4434",".405"
"FBgn0041171","FBgn0263236","ago","SP1029","PPI: Hybrigenics two-hybrid","-.0091",".443"
"FBgn0035371","FBgn0002593","AhcyL1","RpLP1","PPI: Curagen two-hybrid",".0837",".262"
"FBgn0033351","FBgn0030346","AIMP1","CG11802","PPI: Curagen two-hybrid",".2556",".443"
"FBgn0033754","FBgn0036423","Ak6","CG3919","PPI: Curagen two-hybrid","-.025",".395"
"FBgn0029105","FBgn0031068","alpha-Catr","Alr","PPI: Curagen two-hybrid",".2734",".395"
"FBgn0259170","FBgn0086912","alpha-Man-Ia","mbm","PPI: Curagen two-hybrid",".4021",".419"
"FBgn0259170","FBgn0086779","alpha-Man-Ia","step","PPI: Curagen two-hybrid",".185",".397"
"FBgn0030007","FBgn0039175","alpha-PheRS","beta-PheRS","PPI: Flybase Curated PPI",".8492",".587"
"FBgn0004372","FBgn0033749","aly","achi","PPI: From other databases",".4955",".428"
"FBgn0032535","FBgn0026398","Ance-2","Or22a","PPI: Curagen two-hybrid",".2407",".461"
"FBgn0030749","FBgn0033963","AnxB11","CG12857","PPI: Curagen two-hybrid","-.1834",".406"
"FBgn0263351","FBgn0013272","AP-2mu","Gp150","PPI: Curagen two-hybrid",".0872",".422"
"FBgn0028646","FBgn0263697","aralar1","Uba3","PPI: Curagen two-hybrid",".0325",".43"
"FBgn0011745","FBgn0036289","Arp1","CG10657","PPI: Curagen two-hybrid","-.0534",".315"
"FBgn0262716","FBgn0028953","Arp3","CG14478","PPI: Curagen two-hybrid",".3742",".391"
"FBgn0011741","FBgn0053517","Arp6","Dop2R","PPI: Curagen two-hybrid","-.2573",".357"
"FBgn0038188","FBgn0039659","Art9","CG14506","PPI: Curagen two-hybrid",".9737",".419"
"FBgn0038188","FBgn0010078","Art9","RpL23","PPI: Curagen two-hybrid","-.4556",".259"
"FBgn0029095","FBgn0038679","aru","CG6040","PPI: Curagen two-hybrid",".362",".425"
"FBgn0029095","FBgn0002985","aru","odd","PPI: Curagen two-hybrid",".0448",".492"
"FBgn0000137","FBgn0002609","ase","E(spl)m3-HLH","PPI: Flybase Curated PPI|PPI: From other databases",".5626",".385"
"FBgn0034793","FBgn0034033","asrij","CG8204","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".3489",".433"
"FBgn0036790","FBgn0259246","AstC-R1","brp","PPI: Curagen two-hybrid",".1536",".381"
"FBgn0036790","FBgn0020415","AstC-R1","Idgf2","PPI: Curagen two-hybrid","-.0439",".38"
"FBgn0039705","FBgn0037207","Atg16","Mes2","PPI: Curagen two-hybrid",".0204",".413"
"FBgn0016119","FBgn0004643","ATPsynCF6","Zw10","PPI: Curagen two-hybrid","-.3694",".143"
"FBgn0051477","FBgn0032987","ATPsynepsilonL","RpL21","PPI: Curagen two-hybrid","-.3845",".259"
"FBgn0012042","FBgn0034033","AttA","CG8204","PPI: Curagen two-hybrid",".0711",".424"
"FBgn0041581","FBgn0034033","AttB","CG8204","PPI: Curagen two-hybrid",".0464",".435"
"FBgn0024227","FBgn0260991","aurB","Incenp","PPI: Flybase Curated PPI|PPI: From other databases",".9723",".539"
"FBgn0000166","FBgn0032685","bcd","CG10211","PPI: Curagen two-hybrid","-.0593",".387"
"FBgn0000173","FBgn0034314","ben","nopo","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid|PPI: Flybase Curated PPI","-",".4"
"FBgn0000173","FBgn0265464","ben","Traf6","PPI: Flybase Curated PPI|PPI: From other databases",".3127",".404"
"FBgn0000173","FBgn0023143","ben","Uba1","PPI: Flybase Curated PPI|PPI: DPiM coAP complex",".3902",".365"
"FBgn0000173","FBgn0035601","ben","Uev1A","PPI: Flybase Curated PPI|PPI: From other databases",".2133",".735"
"FBgn0035696","FBgn0050428","Best2","CG30428","PPI: Curagen two-hybrid","-.3999",".461"
"FBgn0002906","FBgn0032154","Blm","mtDNA-helicase","PPI: Hybrigenics two-hybrid",".2961",".422"
"FBgn0036118","FBgn0036589","Blos2","CG13067","PPI: Curagen two-hybrid","-.25",".411"
"FBgn0036118","FBgn0050428","Blos2","CG30428","PPI: Curagen two-hybrid",".1482",".397"
"FBgn0036118","FBgn0036109","Blos2","Cpr67Fa2","PPI: Curagen two-hybrid","-.1795",".411"
"FBgn0036118","FBgn0034433","Blos2","EndoB","PPI: Curagen two-hybrid",".1554",".427"
"FBgn0259246","FBgn0086346","brp","ALiX","PPI: Curagen two-hybrid","-.083",".33"
"FBgn0259246","FBgn0010217","brp","ATPsynbeta","PPI: Curagen two-hybrid",".2222",".287"
"FBgn0259246","FBgn0003889","brp","betaTub85D","PPI: Curagen two-hybrid",".1992",".183"
"FBgn0259246","FBgn0030181","brp","CG12645","PPI: Curagen two-hybrid",".1088",".406"
"FBgn0259246","FBgn0036785","brp","CG13700","PPI: Curagen two-hybrid",".2075",".409"
"FBgn0259246","FBgn0036717","brp","CG13731","PPI: Curagen two-hybrid",".2697",".407"
"FBgn0259246","FBgn0036311","brp","CG17666","PPI: Curagen two-hybrid",".1896",".382"
"FBgn0259246","FBgn0040900","brp","CG17777","PPI: Curagen two-hybrid",".2381",".392"
"FBgn0259246","FBgn0050430","brp","CG30430","PPI: Curagen two-hybrid",".1816",".404"
"FBgn0259246","FBgn0051226","brp","CG31226","PPI: Curagen two-hybrid",".1964",".383"
"FBgn0259246","FBgn0052647","brp","CG32647","PPI: Curagen two-hybrid",".2263",".414"
"FBgn0259246","FBgn0085384","brp","CG34355","PPI: Curagen two-hybrid",".4947",".41"
"FBgn0259246","FBgn0033702","brp","CG8854","PPI: Curagen two-hybrid",".3629",".394"
"FBgn0259246","FBgn0035208","brp","CG9184","PPI: Curagen two-hybrid",".0105",".397"
"FBgn0259246","FBgn0037493","brp","CR10032","PPI: Curagen two-hybrid",".6769",".39"
"FBgn0259246","FBgn0000405","brp","CycB","PPI: Curagen two-hybrid","-.2655",".322"
"FBgn0259246","FBgn0284245","brp","eEF1alpha1","PPI: Curagen two-hybrid","-.4755",".141"
"FBgn0259246","FBgn0036924","brp","hale","PPI: Curagen two-hybrid",".1817",".377"
"FBgn0259246","FBgn0264491","brp","how","PPI: Curagen two-hybrid",".1181",".396"
"FBgn0259246","FBgn0002862","brp","Mst87F","PPI: Curagen two-hybrid",".1735",".408"
"FBgn0259246","FBgn0259896","brp","NimC1","PPI: Curagen two-hybrid",".1878",".416"
"FBgn0259246","FBgn0003137","brp","Ppn","PPI: Curagen two-hybrid",".2407",".401"
"FBgn0259246","FBgn0036733","brp","U4-U6-60K","PPI: Curagen two-hybrid","-.1607",".245"
"FBgn0025457","FBgn0031696","Bub3","Bub1","PPI: Curagen two-hybrid|PPI: DPiM coAP complex",".5971",".284"
"FBgn0025457","FBgn0263855","Bub3","BubR1","PPI: Curagen two-hybrid",".8552",".474"
"FBgn0025457","FBgn0032600","Bub3","BuGZ","PPI: Curagen two-hybrid",".8861",".305"
"FBgn0025457","FBgn0032600","Bub3","CG17912","PPI: DPiM coAP complex",".8861",".305"
"FBgn0032248","FBgn0031196","Bug22","CG17599","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.1039",".393"
"FBgn0031367","FBgn0034033","c-cup","CG8204","PPI: Curagen two-hybrid",".7913",".441"
"FBgn0021742","FBgn0002593","C901","RpLP1","PPI: Curagen two-hybrid",".0351",".249"
"FBgn0010015","FBgn0037060","CanA1","CG10508","PPI: Curagen two-hybrid",".2284",".366"
"FBgn0013759","FBgn0038151","CASK","yellow-e2","PPI: Curagen two-hybrid","-.3618",".357"
"FBgn0052183","FBgn0032876","Ccn","Cen","PPI: Curagen two-hybrid",".0823",".42"
"FBgn0284436","FBgn0038714","CCT8","Cpr92A","PPI: Finley lab two-hybrid","-.1704",".279"
"FBgn0265574","FBgn0001269","Cdc5","inv","PPI: Curagen two-hybrid",".2564",".346"
"FBgn0028360","FBgn0003943","Cdc7","Ubi-p63E","PPI: Curagen two-hybrid",".2909",".34"
"FBgn0004107","FBgn0025457","Cdk2","Bub3","PPI: Finley lab two-hybrid|PPI: From other databases",".8311",".253"
"FBgn0004107","FBgn0010316","Cdk2","dap","PPI: Finley lab two-hybrid|PPI: Flybase Curated PPI|PPI: From other databases",".6679",".355"
"FBgn0013762","FBgn0032361","Cdk5","CG6488","PPI: Finley lab two-hybrid",".3683",".383"
"FBgn0030121","FBgn0001269","Cfp1","inv","PPI: Curagen two-hybrid",".2842",".422"
"FBgn0032785","FBgn0031478","CG10026","CG8814","PPI: Finley lab two-hybrid|PPI: From other databases",".0828",".372"
"FBgn0035688","FBgn0036423","CG10289","CG3919","PPI: Curagen two-hybrid",".0111",".343"
"FBgn0038454","FBgn0003638","CG10324","su(w[a])","PPI: Curagen two-hybrid","-.0674",".387"
"FBgn0032701","FBgn0038722","CG10341","Nup58","PPI: Curagen two-hybrid",".0465",".314"
"FBgn0032822","FBgn0036118","CG10466","Blos2","PPI: Curagen two-hybrid",".5792",".397"
"FBgn0037060","FBgn0032485","CG10508","CG9426","PPI: Curagen two-hybrid",".1168",".405"
"FBgn0037060","FBgn0011826","CG10508","Pp2B-14D","PPI: Curagen two-hybrid","-.2144",".378"
"FBgn0037060","FBgn0003149","CG10508","Prm","PPI: Curagen two-hybrid",".1649",".409"
"FBgn0037060","FBgn0030748","CG10508","Traf-like","PPI: Curagen two-hybrid",".3452",".395"
"FBgn0039147","FBgn0039066","CG10694","EloA","PPI: Curagen two-hybrid","-.2281",".305"
"FBgn0032846","FBgn0032154","CG10721","mtDNA-helicase","PPI: Curagen two-hybrid","-.2177",".421"
"FBgn0036052","FBgn0038722","CG10809","Nup58","PPI: Curagen two-hybrid",".7513",".3"
"FBgn0036317","FBgn0032788","CG10948","CG13084","PPI: Curagen two-hybrid",".0277",".412"
"FBgn0037117","FBgn0036441","CG11248","CG13476","PPI: Curagen two-hybrid",".2376",".391"
"FBgn0037117","FBgn0050428","CG11248","CG30428","PPI: Curagen two-hybrid",".3562",".45"
"FBgn0037516","FBgn0000166","CG11286","bcd","PPI: Finley lab two-hybrid","-.271",".374"
"FBgn0037516","FBgn0028509","CG11286","CenG1A","PPI: Finley lab two-hybrid","-.1901",".342"
"FBgn0037516","FBgn0034758","CG11286","CG13510","PPI: Finley lab two-hybrid","-.0507",".397"
"FBgn0037516","FBgn0035325","CG11286","CG13806","PPI: Finley lab two-hybrid","-.2228",".383"
"FBgn0037516","FBgn0035308","CG11286","CG15822","PPI: Finley lab two-hybrid","-.0706",".41"
"FBgn0037516","FBgn0035084","CG11286","CG15861","PPI: Finley lab two-hybrid","-.3682",".404"
"FBgn0037516","FBgn0035641","CG11286","CG5568","PPI: Finley lab two-hybrid","-.2524",".419"
"FBgn0037516","FBgn0032192","CG11286","CG5731","PPI: Finley lab two-hybrid",".0972",".374"
"FBgn0037516","FBgn0031094","CG11286","CG9578","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".2059",".277"
