"Gen1","Gene2","Symbol1","Symbol2","Table Names","Weighted Correlation","Confidence"
"FBgn0052016","FBgn0031270","4E-T","CG13689","PPI: Curagen two-hybrid",".7201",".412"
"FBgn0000022","FBgn0002561","ac","l(1)sc","PPI: From other databases",".9884",".579"
"FBgn0002856","FBgn0039380","Acp26Ab","CG5890","PPI: Finley lab two-hybrid","-.0432",".389"
"FBgn0023415","FBgn0035594","Acp32CD","CG4597","PPI: Finley lab two-hybrid","-.0828",".375"
"FBgn0038172","FBgn0260011","Adgf-D","NimC4","PPI: Finley lab two-hybrid","-.309",".354"
"FBgn0038172","FBgn0043578","Adgf-D","PGRP-SB1","PPI: Finley lab two-hybrid",".5236",".384"
"FBgn0041171","FBgn0013276","ago","Hsp70Ab","PPI: Hybrigenics two-hybrid",".4992",".349"
"FBgn0004552","FBgn0032472","Akh","CG9928","PPI: Finley lab two-hybrid",".1645",".355"
"FBgn0035657","FBgn0038575","alphaKap4","CG7208","PPI: Curagen two-hybrid",".5549",".413"
"FBgn0250791","FBgn0029603","alphaSnap","CG14053","PPI: Finley lab two-hybrid",".0328",".426"
"FBgn0086361","FBgn0029913","alph","Cht11","PPI: Curagen two-hybrid",".1334",".473"
"FBgn0000077","FBgn0085256","amx","CG34227","PPI: Finley lab two-hybrid","-",".395"
"FBgn0032535","FBgn0035790","Ance-2","Cyp316a1","PPI: Curagen two-hybrid",".1057",".248"
"FBgn0032535","FBgn0026398","Ance-2","Or22a","PPI: Curagen two-hybrid",".2407",".461"
"FBgn0032535","FBgn0032221","Ance-2","Schip1","PPI: Curagen two-hybrid",".3791",".438"
"FBgn0000083","FBgn0035112","AnxB9","CG13877","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.2344",".387"
"FBgn0025186","FBgn0050403","ari-2","CG30403","PPI: Curagen two-hybrid",".5474",".358"
"FBgn0000120","FBgn0036152","Arr1","CG6175","PPI: Curagen two-hybrid","-.0449",".425"
"FBgn0029095","FBgn0039408","aru","CG14551","PPI: Curagen two-hybrid",".1915",".385"
"FBgn0036790","FBgn0039196","AstC-R1","CG17781","PPI: Curagen two-hybrid",".1223",".394"
"FBgn0261823","FBgn0039761","Asx","CG18404","PPI: Curagen two-hybrid",".1681",".39"
"FBgn0002921","FBgn0039600","Atpalpha","CG1646","PPI: Curagen two-hybrid","-.5102",".294"
"FBgn0033238","FBgn0040371","azot","CG12470","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".9854",".503"
"FBgn0033238","FBgn0036479","azot","CG13458","PPI: Curagen two-hybrid",".4073",".42"
"FBgn0033238","FBgn0013764","azot","Chi","PPI: Curagen two-hybrid","-.2224",".399"
"FBgn0033238","FBgn0036786","azot","skl","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.1931",".429"
"FBgn0000166","FBgn0028542","bcd","NimB4","PPI: Curagen two-hybrid","-.1058",".367"
"FBgn0013432","FBgn0039855","bcn92","CG1638","PPI: Finley lab two-hybrid","-.3648",".37"
"FBgn0015602","FBgn0033372","BEAF-32","CG13742","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".9089",".434"
"FBgn0038092","FBgn0042102","beat-Vb","CG18745","PPI: Finley lab two-hybrid",".1453",".466"
"FBgn0038092","FBgn0051002","beat-Vb","CG31002","PPI: Finley lab two-hybrid","-.374",".37"
"FBgn0038092","FBgn0052479","beat-Vb","Usp10","PPI: Finley lab two-hybrid","-.209",".313"
