"Gen1","Gene2","Symbol1","Symbol2","Table Names","Weighted Correlation","Confidence"
"FBgn0052016","FBgn0023550","4E-T","FarO","PPI: Curagen two-hybrid","-.2813",".414"
"FBgn0023415","FBgn0037074","Acp32CD","CG7324","PPI: Finley lab two-hybrid",".1297",".352"
"FBgn0000052","FBgn0031451","ade2","CG9961","PPI: Curagen two-hybrid",".0047",".336"
"FBgn0038172","FBgn0039092","Adgf-D","CG16723","PPI: Finley lab two-hybrid",".15",".376"
"FBgn0015011","FBgn0037074","AhcyL2","CG7324","PPI: Curagen two-hybrid","-.0872",".362"
"FBgn0250791","FBgn0031245","alphaSnap","CG3625","PPI: Finley lab two-hybrid|PPI: From other databases",".1605",".42"
"FBgn0010380","FBgn0031558","AP-1-2beta","CG16704","PPI: Curagen two-hybrid","-.1371",".336"
"FBgn0010380","FBgn0028537","AP-1-2beta","CG31775","PPI: Curagen two-hybrid",".0446",".336"
"FBgn0013750","FBgn0031252","Arf51F","CG13690","PPI: Hybrigenics two-hybrid",".3894",".357"
"FBgn0039889","FBgn0040371","Arl4","CG12470","PPI: Curagen two-hybrid","-.1013",".507"
"FBgn0065032","FBgn0030665","Arpc3B","CG15646","PPI: Curagen two-hybrid","-.1736",".472"
"FBgn0029095","FBgn0030665","aru","CG15646","PPI: Curagen two-hybrid",".0715",".409"
"FBgn0036790","FBgn0040352","AstC-R1","CG14416","PPI: Curagen two-hybrid","-.1001",".453"
"FBgn0036790","FBgn0037630","AstC-R1","Ir85a","PPI: Curagen two-hybrid","-.0792",".382"
"FBgn0029943","FBgn0031423","Atg5","CG3557","PPI: Curagen two-hybrid","-.3384",".376"
"FBgn0038539","FBgn0031233","Atg8b","Tbc1d15-17","PPI: Curagen two-hybrid","-.3276",".403"
"FBgn0000147","FBgn0259791","aurA","bora","PPI: Flybase Curated PPI",".8749",".308"
"FBgn0025463","FBgn0039307","Bap60","CR13656","PPI: Curagen two-hybrid","-.2291",".36"
"FBgn0000166","FBgn0004175","bcd","Mst84Dd","PPI: Curagen two-hybrid","-.2632",".375"
"FBgn0028970","FBgn0052736","betaggt-II","CG32736","PPI: Curagen two-hybrid",".0026",".409"
"FBgn0028970","FBgn0036298","betaggt-II","nst","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".2336",".433"
"FBgn0259791","FBgn0040371","bora","CG12470","PPI: Curagen two-hybrid",".0812",".372"
"FBgn0259791","FBgn0033312","bora","CG8642","PPI: Curagen two-hybrid","-.1105",".39"
"FBgn0000229","FBgn0010830","bsk","l(3)04053","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.0071",".39"
"FBgn0000229","FBgn0033692","bsk","wash","PPI: Curagen two-hybrid","-.3562",".372"
"FBgn0032078","FBgn0032946","C1GalTA","nrv3","PPI: Curagen two-hybrid","-.1554",".356"
"FBgn0000251","FBgn0000356","cad","Cp16","PPI: Curagen two-hybrid",".2517",".403"
"FBgn0011569","FBgn0261786","can","mi","PPI: Curagen two-hybrid","-.276",".368"
"FBgn0086757","FBgn0031920","cbs","CG6441","PPI: Curagen two-hybrid",".0039",".512"
"FBgn0039396","FBgn0031134","CCAP-R","CG1314","PPI: Curagen two-hybrid",".0944",".383"
"FBgn0026143","FBgn0261976","CDC45L","Psf2","PPI: Flybase Curated PPI",".3463",".279"
"FBgn0004106","FBgn0083978","Cdk1","CG17672","PPI: Finley lab two-hybrid|PPI: From other databases","-.1124",".338"
"FBgn0026141","FBgn0259791","Cdlc2","bora","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".0918",".362"
"FBgn0026141","FBgn0031434","Cdlc2","insv","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.1113",".235"
"FBgn0032785","FBgn0032664","CG10026","CG5755","PPI: Finley lab two-hybrid|PPI: From other databases",".2477",".363"
"FBgn0034441","FBgn0268063","CG10081","ltl","PPI: Curagen two-hybrid","-.2551",".371"
"FBgn0039106","FBgn0031134","CG10301","CG1314","PPI: Curagen two-hybrid","-.3898",".422"
"FBgn0032746","FBgn0032901","CG10470","sky","PPI: Curagen two-hybrid","-.0735",".398"
"FBgn0036287","FBgn0010830","CG10663","l(3)04053","PPI: Curagen two-hybrid","-.2315",".434"
"FBgn0036362","FBgn0036532","CG10725","CG13445","PPI: Finley lab two-hybrid",".5154",".397"
"FBgn0036320","FBgn0050183","CG10943","CG30183","PPI: Curagen two-hybrid","-.0057",".412"
"FBgn0037120","FBgn0037630","CG11247","Ir85a","PPI: Curagen two-hybrid","-.0152",".406"
"FBgn0037115","FBgn0038008","CG11249","CG3942","PPI: Curagen two-hybrid",".9971",".455"
"FBgn0037115","FBgn0003464","CG11249","sol","PPI: Curagen two-hybrid","-.157",".377"
"FBgn0034706","FBgn0263490","CG11275","mld","PPI: Curagen two-hybrid","-.2047",".445"
"FBgn0034901","FBgn0027889","CG11300","ball","PPI: Curagen two-hybrid","-.1923",".393"
"FBgn0034901","FBgn0034753","CG11300","CG2852","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".0088",".376"
"FBgn0034901","FBgn0051029","CG11300","CG31029","PPI: Curagen two-hybrid","-.1401",".385"
"FBgn0031849","FBgn0037845","CG11327","CG14694","PPI: Curagen two-hybrid",".3577",".397"
"FBgn0031849","FBgn0023550","CG11327","FarO","PPI: Curagen two-hybrid",".3683",".429"
"FBgn0031849","FBgn0037690","CG11327","Task7","PPI: Curagen two-hybrid",".1362",".378"
"FBgn0039849","FBgn0011586","CG11334","e(r)","PPI: Curagen two-hybrid","-.178",".41"
"FBgn0039849","FBgn0250823","CG11334","gish","PPI: Curagen two-hybrid","-.3973",".276"
"FBgn0039849","FBgn0027945","CG11334","ppl","PPI: Finley lab two-hybrid|PPI: From other databases","-.0107",".441"
"FBgn0039849","FBgn0010265","CG11334","RpS13","PPI: Curagen two-hybrid",".179",".241"
"FBgn0035550","FBgn0039638","CG11349","dgt6","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.1882",".399"
"FBgn0040359","FBgn0037115","CG11380","CG11249","PPI: Curagen two-hybrid","-.0543",".392"
"FBgn0033283","FBgn0030301","CG11635","HP5","PPI: Curagen two-hybrid","-.2762",".411"
"FBgn0033283","FBgn0004175","CG11635","Mst84Dd","PPI: Curagen two-hybrid",".9478",".456"
"FBgn0038109","FBgn0039307","CG11656","CR13656","PPI: Curagen two-hybrid",".3477",".405"
"FBgn0038109","FBgn0014029","CG11656","Sep2","PPI: Curagen two-hybrid","-.2302",".378"
"FBgn0037563","FBgn0030556","CG11672","mRNA-cap","PPI: Curagen two-hybrid","-.3984",".311"
"FBgn0030314","FBgn0035691","CG11696","CG7386","PPI: Curagen two-hybrid",".0488",".429"
"FBgn0030314","FBgn0027492","CG11696","wdb","PPI: Curagen two-hybrid",".7918",".392"
"FBgn0039265","FBgn0037975","CG11790","CG3397","PPI: Curagen two-hybrid",".1619",".273"
"FBgn0029957","FBgn0033287","CG12155","CG8701","PPI: Curagen two-hybrid","-.2101",".415"
"FBgn0038002","FBgn0031331","CG12256","CG5440","PPI: Curagen two-hybrid",".1973",".437"
"FBgn0031103","FBgn0004175","CG12679","Mst84Dd","PPI: Curagen two-hybrid",".9553",".472"
"FBgn0035476","FBgn0034194","CG12766","CG15611","PPI: Curagen two-hybrid",".5222",".385"
"FBgn0037779","FBgn0082598","CG12811","akirin","PPI: Curagen two-hybrid","-.25",".484"
"FBgn0037779","FBgn0030545","CG12811","CG11590","PPI: Curagen two-hybrid",".5089",".464"
"FBgn0037779","FBgn0039210","CG12811","CG13625","PPI: Curagen two-hybrid","-.3",".37"
"FBgn0037779","FBgn0042213","CG12811","CG18731","PPI: Curagen two-hybrid","-.0115",".408"
"FBgn0037779","FBgn0035152","CG12811","CG3386","PPI: Curagen two-hybrid","-.1261",".429"
"FBgn0037779","FBgn0030091","CG12811","CG7065","PPI: Curagen two-hybrid","-.496",".355"
"FBgn0037779","FBgn0015221","CG12811","Fer2LCH","PPI: Curagen two-hybrid",".2914",".421"
"FBgn0037779","FBgn0036309","CG12811","Hip1","PPI: Curagen two-hybrid","-.1292",".365"
"FBgn0037779","FBgn0001225","CG12811","Hsp26","PPI: Curagen two-hybrid",".3373",".416"
"FBgn0037779","FBgn0001233","CG12811","Hsp83","PPI: Curagen two-hybrid",".1426",".23"
"FBgn0037779","FBgn0264815","CG12811","Pde1c","PPI: Curagen two-hybrid",".0137",".419"
"FBgn0037779","FBgn0021764","CG12811","sdk","PPI: Curagen two-hybrid","-.3311",".415"
"FBgn0039544","FBgn0011723","CG12877","byn","PPI: Curagen two-hybrid",".4207",".415"
"FBgn0033512","FBgn0034901","CG12902","CG11300","PPI: Finley lab two-hybrid","-.1395",".381"
"FBgn0030881","FBgn0038217","CG12985","CG14840","PPI: Curagen two-hybrid",".9941",".443"
"FBgn0036563","FBgn0036419","CG13075","CG13482","PPI: Curagen two-hybrid","-.0371",".477"
"FBgn0032181","FBgn0038566","CG13133","CG14317","PPI: Curagen two-hybrid","-.1751",".407"
"FBgn0032181","FBgn0038145","CG13133","Droj2","PPI: Curagen two-hybrid",".1455",".369"
"FBgn0032181","FBgn0017551","CG13133","Rca1","PPI: Curagen two-hybrid","-.3404",".409"
"FBgn0031134","FBgn0029700","CG1314","CG15576","PPI: Curagen two-hybrid",".9956",".416"
"FBgn0031134","FBgn0031626","CG1314","CG15631","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".9903",".408"
"FBgn0031134","FBgn0032400","CG1314","CG6770","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.0675",".408"
"FBgn0031134","FBgn0000524","CG1314","dx","PPI: Curagen two-hybrid","-.2888",".378"
"FBgn0031134","FBgn0032812","CG1314","Hakai","PPI: Curagen two-hybrid","-.2845",".4"
"FBgn0031134","FBgn0030136","CG1314","RpS28b","PPI: Curagen two-hybrid","-.4089",".376"
"FBgn0031134","FBgn0038271","CG1314","UQCR-C1","PPI: Curagen two-hybrid",".1189",".377"
"FBgn0033608","FBgn0032870","CG13220","CG2608","PPI: Curagen two-hybrid","-.0051",".459"
"FBgn0045827","FBgn0024250","CG13245","brk","PPI: Curagen two-hybrid","-.2786",".548"
"FBgn0045827","FBgn0033721","CG13245","CG13159","PPI: Curagen two-hybrid","-.23",".411"
"FBgn0045827","FBgn0036662","CG13245","CG9706","PPI: Curagen two-hybrid",".4905",".479"
"FBgn0045827","FBgn0019925","CG13245","Surf4","PPI: Curagen two-hybrid","-.2754",".26"
"FBgn0045827","FBgn0265464","CG13245","Traf6","PPI: Curagen two-hybrid","-.4533",".282"
"FBgn0045827","FBgn0004606","CG13245","zfh1","PPI: Curagen two-hybrid","-.2672",".438"
"FBgn0035643","FBgn0035522","CG13287","CG1273","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".3893",".39"
"FBgn0035931","FBgn0036419","CG13312","CG13482","PPI: Curagen two-hybrid","-.0683",".434"
"FBgn0033788","FBgn0086687","CG13323","Desat1","PPI: Finley lab two-hybrid",".2667",".277"
"FBgn0033788","FBgn0052190","CG13323","NUCB1","PPI: Finley lab two-hybrid","-.1196",".389"
"FBgn0035097","FBgn0030314","CG13405","CG11696","PPI: Curagen two-hybrid","-.2457",".422"
"FBgn0034513","FBgn0029665","CG13423","CG14270","PPI: Curagen two-hybrid",".2011",".363"
"FBgn0036503","FBgn0020236","CG13454","ATPCL","PPI: Curagen two-hybrid","-.2583",".366"
"FBgn0036438","FBgn0028379","CG13477","fan","PPI: Curagen two-hybrid",".981",".359"
"FBgn0036438","FBgn0031534","CG13477","Snx1","PPI: Curagen two-hybrid",".0791",".39"
"FBgn0036419","FBgn0051721","CG13482","Trim9","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.0593",".401"
"FBgn0034758","FBgn0037900","CG13510","CG5276","PPI: Curagen two-hybrid","-.0209",".395"
