"Gen1","Gene2","Symbol1","Symbol2","Table Names","Weighted Correlation","Confidence"
"FBgn0004907","FBgn0031505","14-3-3zeta","ND-B14.5B","PPI: Curagen two-hybrid",".1651",".128"
"FBgn0004364","FBgn0029114","18w","Tollo","PPI: Flybase Curated PPI",".6821",".593"
"FBgn0028970","FBgn0037293","?ggt-II","CG12007","PPI: DPiM coAP complex","-.0507",".604"
"FBgn0011273","FBgn0032957","Acam","CG2225","PPI: Curagen two-hybrid","-",".332"
"FBgn0000028","FBgn0086680","acj6","vvl","PPI: Flybase Curated PPI|PPI: From other databases",".1414",".46"
"FBgn0028658","FBgn0035720","Adat1","CG10077","PPI: Curagen two-hybrid",".1495",".298"
"FBgn0028658","FBgn0026090","Adat1","CG14812","PPI: Curagen two-hybrid",".333",".4"
"FBgn0028658","FBgn0262116","Adat1","RNASEK","PPI: Curagen two-hybrid","-.0633",".413"
"FBgn0028658","FBgn0019936","Adat1","RpS20","PPI: Curagen two-hybrid","-.3946",".262"
"FBgn0038172","FBgn0052475","Adgf-D","mthl8","PPI: Finley lab two-hybrid","-.1823",".546"
"FBgn0026602","FBgn0039582","Ady43A","Or98b","PPI: Curagen two-hybrid",".3739",".396"
"FBgn0026309","FBgn0042102","aft","CG18745","PPI: Finley lab two-hybrid","-.1549",".465"
"FBgn0041171","FBgn0040398","ago","CG14629","PPI: Hybrigenics two-hybrid","-.0374",".382"
"FBgn0033351","FBgn0036053","AIMP1","iPLA2-VIA","PPI: Curagen two-hybrid",".3661",".357"
"FBgn0010379","FBgn0051204","Akt1","CG31204","PPI: Finley lab two-hybrid","-.3022",".316"
"FBgn0010379","FBgn0032878","Akt1","CG9316","PPI: Finley lab two-hybrid","-.3015",".271"
"FBgn0000061","FBgn0031653","al","Jon25Biii","PPI: Curagen two-hybrid","-.1726",".434"
"FBgn0250791","FBgn0035504","alphaSnap","Teh4","PPI: Finley lab two-hybrid|PPI: From other databases",".4319",".401"
"FBgn0086361","FBgn0036089","alph","CG14151","PPI: Curagen two-hybrid","-.2721",".425"
"FBgn0052626","FBgn0030012","AMPdeam","CG18262","PPI: Curagen two-hybrid","-.101",".457"
"FBgn0013750","FBgn0266719","Arf51F","stac","PPI: Hybrigenics two-hybrid",".2901",".403"
"FBgn0029095","FBgn0033953","aru","CG12861","PPI: Curagen two-hybrid","-.1676",".358"
"FBgn0029095","FBgn0053111","aru","CG33111","PPI: Curagen two-hybrid",".1414",".382"
"FBgn0034793","FBgn0036935","asrij","CG14186","PPI: Curagen two-hybrid","-.0053",".421"
"FBgn0039946","FBgn0026262","ATbp","bip2","PPI: Curagen two-hybrid",".7053",".478"
"FBgn0039946","FBgn0011260","ATbp","Sema2a","PPI: Curagen two-hybrid",".6925",".524"
"FBgn0039705","FBgn0031886","Atg16","Nuf2","PPI: Curagen two-hybrid",".506",".402"
"FBgn0037218","FBgn0031610","aux","CG15436","PPI: Curagen two-hybrid",".5196",".344"
"FBgn0037218","FBgn0259896","aux","NimC1","PPI: Curagen two-hybrid","-.0151",".366"
"FBgn0038342","FBgn0035374","B9d1","mRpS35","PPI: Curagen two-hybrid","-.4981",".417"
"FBgn0040237","FBgn0043457","bor","CG5180","PPI: Finley lab two-hybrid",".1375",".444"
"FBgn0000228","FBgn0036697","Bsg25D","rogdi","PPI: Curagen two-hybrid",".2153",".38"
"FBgn0000229","FBgn0030316","bsk","CG11695","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".2475",".367"
"FBgn0259176","FBgn0030251","bun","CG2145","PPI: Curagen two-hybrid","-.0906",".392"
"FBgn0000239","FBgn0033985","bur","CG10257","PPI: Curagen two-hybrid","-.0299",".421"
"FBgn0000239","FBgn0039711","bur","CG7824","PPI: Curagen two-hybrid",".6577",".45"
"FBgn0264386","FBgn0040343","Ca-alpha1T","CG3713","PPI: Finley lab two-hybrid|PPI: From other databases",".2894",".371"
"FBgn0039709","FBgn0036547","Cad99C","CG17032","PPI: Curagen two-hybrid",".4538",".432"
"FBgn0000253","FBgn0036697","Cam","rogdi","PPI: Curagen two-hybrid",".2964",".351"
"FBgn0015614","FBgn0261289","CanB2","CheB98a","PPI: Finley lab two-hybrid",".1376",".348"
"FBgn0050106","FBgn0000071","CCHa1-R","Ama","PPI: Curagen two-hybrid","-.302",".287"
"FBgn0004778","FBgn0037290","Ccp84Af","CG1124","PPI: Curagen two-hybrid",".1322",".381"
"FBgn0051973","FBgn0037009","Cda5","CG5104","PPI: Curagen two-hybrid","-.043",".387"
"FBgn0013435","FBgn0032741","Cdc2rk","Sidpn","PPI: Finley lab two-hybrid|PPI: From other databases",".1117",".373"
"FBgn0013762","FBgn0051204","Cdk5","CG31204","PPI: Finley lab two-hybrid","-.3851",".36"
"FBgn0013762","FBgn0031081","Cdk5","Nep3","PPI: Finley lab two-hybrid|PPI: From other databases","-.165",".343"
"FBgn0026141","FBgn0036547","Cdlc2","CG17032","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.1654",".335"
"FBgn0026141","FBgn0033888","Cdlc2","CG18568","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".9965",".232"
"FBgn0026141","FBgn0050324","Cdlc2","CG30324","PPI: Curagen two-hybrid|PPI: From other databases",".9901",".409"
"FBgn0034443","FBgn0033873","cer","CG6337","PPI: Curagen two-hybrid","-.0481",".417"
"FBgn0034443","FBgn0030521","cer","CtsB1","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid|PPI: Flybase Curated PPI",".4761",".454"
