"Gen1","Gene2","Symbol1","Symbol2","Table Names","Weighted Correlation","Confidence"
"FBgn0004907","FBgn0039041","14-3-3zeta","CG13838","PPI: Curagen two-hybrid","-.2757",".283"
"FBgn0004907","FBgn0038466","14-3-3zeta","CG8907","PPI: Curagen two-hybrid",".196",".269"
"FBgn0004907","FBgn0001248","14-3-3zeta","Idh","PPI: Curagen two-hybrid","-.0619",".559"
"FBgn0004907","FBgn0041775","14-3-3zeta","tral","PPI: Curagen two-hybrid","-.2096",".333"
"FBgn0052016","FBgn0027794","4E-T","Lrpprc2","PPI: Curagen two-hybrid","-.122",".394"
"FBgn0052016","FBgn0037707","4E-T","RnpS1","PPI: Curagen two-hybrid",".6265",".276"
"FBgn0087012","FBgn0259481","5-HT2A","Mob2","PPI: Curagen two-hybrid",".3961",".354"
"FBgn0028965","FBgn0022338","A16","dnk","PPI: Curagen two-hybrid",".5586",".531"
"FBgn0031851","FBgn0261535","Aatf","l(2)34Fd","PPI: Curagen two-hybrid",".8959",".43"
"FBgn0027090","FBgn0027093","Aats-gln","Aats-arg","PPI: DPiM coAP complex",".7496",".603"
"FBgn0027090","FBgn0033351","Aats-gln","CG8235","PPI: DPiM coAP complex",".8697",".492"
"FBgn0027084","FBgn0027093","Aats-lys","Aats-arg","PPI: DPiM coAP complex",".74",".464"
"FBgn0027084","FBgn0033351","Aats-lys","CG8235","PPI: DPiM coAP complex",".726",".58"
"FBgn0000017","FBgn0267487","Abl","Ptp61F","PPI: Flybase Curated PPI",".7054",".434"
"FBgn0033246","FBgn0036595","ACC","CG13046","PPI: Finley lab two-hybrid","-.0719",".277"
"FBgn0033246","FBgn0042102","ACC","CG18745","PPI: Finley lab two-hybrid",".2097",".381"
"FBgn0033246","FBgn0051999","ACC","CG31999","PPI: Finley lab two-hybrid","-.0998",".307"
"FBgn0033246","FBgn0036950","ACC","CG6996","PPI: Finley lab two-hybrid","-.0375",".287"
"FBgn0023415","FBgn0032847","Acp32CD","Taf13","PPI: Finley lab two-hybrid","-.1348",".318"
"FBgn0037555","FBgn0053554","Ada2b","Nipped-A","PPI: Flybase Curated PPI",".5565",".598"
"FBgn0030891","FBgn0053554","Ada3","Nipped-A","PPI: Flybase Curated PPI",".7205",".239"
"FBgn0038172","FBgn0051358","Adgf-D","CG31358","PPI: Finley lab two-hybrid",".4333",".481"
"FBgn0026602","FBgn0259923","Ady43A","Sep4","PPI: Curagen two-hybrid",".5724",".392"
"FBgn0041171","FBgn0026144","ago","CBP","PPI: Hybrigenics two-hybrid",".3797",".415"
"FBgn0033351","FBgn0036515","AIMP1","AIMP2","PPI: Flybase Curated PPI|PPI: From other databases",".8043",".582"
"FBgn0033351","FBgn0030346","AIMP1","CG11802","PPI: Curagen two-hybrid",".2556",".443"
"FBgn0033351","FBgn0051324","AIMP1","CG31324","PPI: Curagen two-hybrid","-.0459",".354"
"FBgn0033351","FBgn0035945","AIMP1","CG5026","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".1197",".396"
"FBgn0033351","FBgn0036075","AIMP1","CG8065","PPI: Curagen two-hybrid","-.4019",".369"
"FBgn0033351","FBgn0036671","AIMP1","CG9951","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".4731",".423"
"FBgn0033351","FBgn0015221","AIMP1","Fer2LCH","PPI: Curagen two-hybrid","-.0694",".378"
"FBgn0033351","FBgn0025777","AIMP1","homer","PPI: Curagen two-hybrid","-.0554",".357"
"FBgn0033351","FBgn0036053","AIMP1","iPLA2-VIA","PPI: Curagen two-hybrid",".3661",".357"
"FBgn0033351","FBgn0026326","AIMP1","Mad1","PPI: Curagen two-hybrid",".2268",".282"
"FBgn0033351","FBgn0034401","AIMP1","MetRS","PPI: Flybase Curated PPI|PPI: From other databases",".6013",".616"
"FBgn0033351","FBgn0042693","AIMP1","PP2A-B'","PPI: Curagen two-hybrid",".2717",".358"
"FBgn0033754","FBgn0086447","Ak6","l(2)37Cg","PPI: Finley lab two-hybrid|PPI: From other databases",".8572",".432"
"FBgn0010379","FBgn0039210","Akt1","CG13625","PPI: Finley lab two-hybrid",".4678",".304"
"FBgn0010379","FBgn0034371","Akt1","SP2637","PPI: Finley lab two-hybrid",".1874",".338"
"FBgn0020764","FBgn0261112","Alas","APP-BP1","PPI: Curagen two-hybrid",".3016",".332"
"FBgn0020764","FBgn0052086","Alas","CG32086","PPI: Curagen two-hybrid",".3838",".33"
"FBgn0010548","FBgn0024352","Aldh-III","Hop","PPI: Curagen two-hybrid","-.0668",".325"
"FBgn0010548","FBgn0011648","Aldh-III","Mad","PPI: Curagen two-hybrid",".0701",".405"
"FBgn0010548","FBgn0036895","Aldh-III","ms(3)76Cc","PPI: Curagen two-hybrid",".1631",".37"
"FBgn0010548","FBgn0267385","Aldh-III","PyK","PPI: Curagen two-hybrid",".2895",".403"
"FBgn0013746","FBgn0037120","alien","CG11247","PPI: Curagen two-hybrid",".4645",".395"
"FBgn0010215","FBgn0015609","alpha-Cat","CadN","PPI: Flybase Curated PPI|PPI: From other databases",".5404",".382"
"FBgn0035657","FBgn0259481","alphaKap4","Mob2","PPI: Curagen two-hybrid",".1739",".411"
"FBgn0250791","FBgn0010548","alphaSnap","Aldh-III","PPI: Finley lab two-hybrid|PPI: From other databases","-.0723",".376"
"FBgn0250791","FBgn0037807","alphaSnap","CG6293","PPI: Finley lab two-hybrid|PPI: From other databases","-.2654",".364"
"FBgn0250791","FBgn0265998","alphaSnap","Doa","PPI: Finley lab two-hybrid|PPI: From other databases",".3613",".335"
"FBgn0250791","FBgn0267849","alphaSnap","Syx7","PPI: Finley lab two-hybrid|PPI: Flybase Curated PPI|PPI: From other databases",".3873",".7"
"FBgn0003886","FBgn0003888","alphaTub85E","betaTub60D","PPI: From other databases",".123",".564"
"FBgn0052626","FBgn0038506","AMPdeam","CG5860","PPI: Finley lab two-hybrid|PPI: From other databases",".2766",".417"
"FBgn0027356","FBgn0030582","Amph","CG14411","PPI: Curagen two-hybrid","-.2784",".297"
"FBgn0027356","FBgn0003882","Amph","tub","PPI: Curagen two-hybrid","-.1409",".269"
"FBgn0026150","FBgn0037910","ApepP","CG14708","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".0051",".387"
"FBgn0031458","FBgn0039234","aph-1","nct","PPI: Flybase Curated PPI",".6874",".612"
"FBgn0031458","FBgn0053198","aph-1","pen-2","PPI: Flybase Curated PPI",".3362",".478"
"FBgn0000109","FBgn0029833","Aprt","MCTS1","PPI: Curagen two-hybrid",".4049",".401"
"FBgn0015903","FBgn0026262","apt","bip2","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".2006",".474"
"FBgn0033928","FBgn0036617","Arc2","Cpr72Ea","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".0014",".393"
