"Gen1","Gene2","Symbol1","Symbol2","Table Names","Weighted Correlation","Confidence"
"FBgn0020238","FBgn0030507","14-3-3epsilon","CG11164","PPI: Curagen two-hybrid",".5209",".332"
"FBgn0020238","FBgn0031006","14-3-3epsilon","rictor","PPI: Flybase Curated PPI|PPI: From other databases",".2552",".177"
"FBgn0004907","FBgn0261109","14-3-3zeta","mrn","PPI: Curagen two-hybrid","-.1337",".253"
"FBgn0004907","FBgn0015278","14-3-3zeta","Pi3K68D","PPI: Flybase Curated PPI","-.5274",".247"
"FBgn0004907","FBgn0031006","14-3-3zeta","rictor","PPI: Flybase Curated PPI","-.0304",".195"
"FBgn0004907","FBgn0003464","14-3-3zeta","sol","PPI: Curagen two-hybrid",".1637",".486"
"FBgn0052016","FBgn0040670","4E-T","e(y)2b","PPI: Curagen two-hybrid","-.1933",".407"
"FBgn0052016","FBgn0026409","4E-T","Mpcp","PPI: Curagen two-hybrid","-.4021",".32"
"FBgn0052016","FBgn0064225","4E-T","RpL5","PPI: Curagen two-hybrid",".222",".39"
"FBgn0052016","FBgn0039713","4E-T","RpS8","PPI: Curagen two-hybrid","-.2137",".209"
"FBgn0028965","FBgn0004103","A16","Pp1-87B","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid|PPI: Flybase Curated PPI|PPI: DPiM coAP complex|PPI: From other databases",".3286",".476"
"FBgn0011294","FBgn0030507","a5","CG11164","PPI: Curagen two-hybrid","-",".425"
"FBgn0000015","FBgn0051973","Abd-B","Cda5","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.1929",".5"
"FBgn0020510","FBgn0038320","Abi","Sra-1","PPI: Flybase Curated PPI",".7756",".396"
"FBgn0015331","FBgn0262975","abs","cnc","PPI: Curagen two-hybrid","-.4003",".411"
"FBgn0015331","FBgn0000405","abs","CycB","PPI: Curagen two-hybrid",".3567",".349"
"FBgn0015331","FBgn0033029","abs","Not3","PPI: Curagen two-hybrid",".5659",".367"
"FBgn0015331","FBgn0023143","abs","Uba1","PPI: Curagen two-hybrid",".3786",".339"
"FBgn0011273","FBgn0000022","Acam","ac","PPI: Curagen two-hybrid","-.0525",".274"
"FBgn0011273","FBgn0264607","Acam","CaMKII","PPI: Curagen two-hybrid","-.1108",".289"
"FBgn0011273","FBgn0010015","Acam","CanA1","PPI: Curagen two-hybrid","-.1402",".492"
"FBgn0011273","FBgn0030507","Acam","CG11164","PPI: Curagen two-hybrid","-.1038",".383"
"FBgn0011273","FBgn0039544","Acam","CG12877","PPI: Curagen two-hybrid","-.0832",".324"
"FBgn0011273","FBgn0035139","Acam","CG13891","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".9946",".327"
"FBgn0011273","FBgn0031176","Acam","CG1678","PPI: Curagen two-hybrid","-.0998",".322"
"FBgn0011273","FBgn0062517","Acam","CG16984","PPI: Curagen two-hybrid",".9946",".438"
"FBgn0011273","FBgn0033122","Acam","CG17002","PPI: Curagen two-hybrid","-.1203",".331"
"FBgn0011273","FBgn0032957","Acam","CG2225","PPI: Curagen two-hybrid","-",".332"
"FBgn0011273","FBgn0031585","Acam","CG2955","PPI: Curagen two-hybrid",".9988",".325"
"FBgn0011273","FBgn0039501","Acam","CG5987","PPI: Curagen two-hybrid",".993",".247"
"FBgn0011273","FBgn0032934","Acam","CG8679","PPI: Curagen two-hybrid","-.0839",".33"
"FBgn0011273","FBgn0261397","Acam","didum","PPI: Curagen two-hybrid","-.2429",".527"
"FBgn0011273","FBgn0034599","Acam","hng1","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid|PPI: From other databases",".6827",".333"
"FBgn0011273","FBgn0027108","Acam","Inx2","PPI: Curagen two-hybrid","-.2735",".33"
"FBgn0011273","FBgn0033494","Acam","KCNQ","PPI: Curagen two-hybrid","-.1582",".333"
"FBgn0011273","FBgn0034726","Acam","Mes4","PPI: Curagen two-hybrid","-.1575",".327"
"FBgn0011273","FBgn0037330","Acam","mRpL44","PPI: Curagen two-hybrid","-.3128",".292"
"FBgn0011273","FBgn0032651","Acam","Oli","PPI: Curagen two-hybrid","-.0058",".331"
"FBgn0011273","FBgn0023516","Acam","Pex5","PPI: Curagen two-hybrid","-.1128",".319"
"FBgn0011273","FBgn0042693","Acam","PP2A-B'","PPI: Curagen two-hybrid","-",".341"
"FBgn0011273","FBgn0261985","Acam","Ptpmeg","PPI: Curagen two-hybrid","-",".259"
"FBgn0011273","FBgn0025726","Acam","unc-13","PPI: Curagen two-hybrid","-.1084",".357"
"FBgn0000022","FBgn0002633","ac","E(spl)m7-HLH","PPI: Flybase Curated PPI|PPI: From other databases",".8186",".457"
"FBgn0015583","FBgn0051999","Acp29AB","CG31999","PPI: Curagen two-hybrid","-.0899",".404"
"FBgn0015583","FBgn0035849","Acp29AB","ERR","PPI: Curagen two-hybrid","-.0329",".398"
"FBgn0015583","FBgn0011704","Acp29AB","RnrS","PPI: Curagen two-hybrid","-.1551",".326"
"FBgn0015585","FBgn0046302","Acp63F","CG10650","PPI: Curagen two-hybrid","-.0024",".408"
"FBgn0000043","FBgn0000047","Act42A","Act88F","PPI: From other databases","-.2354",".55"
"FBgn0000043","FBgn0000212","Act42A","brm","PPI: Flybase Curated PPI",".2979",".346"
"FBgn0000044","FBgn0000047","Act57B","Act88F","PPI: From other databases",".0906",".708"
"FBgn0000042","FBgn0000212","Act5C","brm","PPI: Flybase Curated PPI|PPI: From other databases",".3297",".345"
"FBgn0000046","FBgn0000047","Act87E","Act88F","PPI: From other databases",".5182",".711"
"FBgn0000047","FBgn0261458","Act88F","capt","PPI: From other databases","-.1849",".506"
"FBgn0000047","FBgn0000308","Act88F","chic","PPI: From other databases","-.26",".499"
"FBgn0000047","FBgn0260049","Act88F","flr","PPI: From other databases","-.1618",".369"
"FBgn0000047","FBgn0264695","Act88F","Mhc","PPI: Flybase Curated PPI|PPI: From other databases",".5192",".556"
"FBgn0000047","FBgn0003943","Act88F","Ubi-p63E","PPI: Flybase Curated PPI",".0216",".454"
"FBgn0000667","FBgn0283471","Actn","wupA","PPI: Flybase Curated PPI|PPI: From other databases",".8031",".452"
"FBgn0037555","FBgn0038566","Ada2b","CG14317","PPI: Curagen two-hybrid",".4397",".266"
"FBgn0037555","FBgn0038108","Ada2b","CG7518","PPI: Curagen two-hybrid",".5818",".29"
"FBgn0038341","FBgn0030734","AdamTS-A","CG9911","PPI: Curagen two-hybrid",".3026",".398"
"FBgn0028658","FBgn0035720","Adat1","CG10077","PPI: Curagen two-hybrid",".1495",".298"
"FBgn0038984","FBgn0001224","AdipoR","Hsp23","PPI: Curagen two-hybrid","-.1783",".394"
