"Gen1","Gene2","Symbol1","Symbol2","Table Names","Weighted Correlation","Confidence"
"FBgn0023130","FBgn0039840","a6","pHCl-2","PPI: Curagen two-hybrid","-.3554",".42"
"FBgn0011273","FBgn0039544","Acam","CG12877","PPI: Curagen two-hybrid","-.0832",".324"
"FBgn0033749","FBgn0034667","achi","comr","PPI: From other databases",".4931",".4"
"FBgn0038172","FBgn0051676","Adgf-D","CG31676","PPI: Finley lab two-hybrid",".0123",".388"
"FBgn0038172","FBgn0052793","Adgf-D","CG32793","PPI: Finley lab two-hybrid","-.1078",".376"
"FBgn0038984","FBgn0029131","AdipoR","Debcl","PPI: Curagen two-hybrid",".0658",".424"
"FBgn0250791","FBgn0038569","alphaSnap","CG7218","PPI: Finley lab two-hybrid|PPI: From other databases","-.0972",".508"
"FBgn0052626","FBgn0040837","AMPdeam","CG8620","PPI: Curagen two-hybrid",".2846",".429"
"FBgn0032536","FBgn0034997","Ance-3","CG3376","PPI: Curagen two-hybrid","-.0933",".417"
"FBgn0000117","FBgn0032083","arm","CG9541","PPI: Curagen two-hybrid","-.0157",".354"
"FBgn0029095","FBgn0036389","aru","ssp2","PPI: Curagen two-hybrid",".0285",".456"
"FBgn0032691","FBgn0027657","Atac2","glob1","PPI: Curagen two-hybrid","-.0809",".407"
"FBgn0038498","FBgn0023215","beat-IIa","Mnt","PPI: Curagen two-hybrid","-.0298",".263"
"FBgn0038498","FBgn0262656","beat-IIa","Myc","PPI: Curagen two-hybrid","-.0788",".148"
"FBgn0028970","FBgn0039840","betaggt-II","pHCl-2","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".2551",".375"
"FBgn0045759","FBgn0263772","bin","CG43689","PPI: Finley lab two-hybrid",".3049",".369"
"FBgn0026263","FBgn0051365","bip1","CG31365","PPI: Curagen two-hybrid",".3196",".406"
"FBgn0000229","FBgn0039544","bsk","CG12877","PPI: Curagen two-hybrid",".0064",".366"
"FBgn0000251","FBgn0033236","cad","CG14764","PPI: Curagen two-hybrid",".5862",".368"
"FBgn0000251","FBgn0034093","cad","CG15706","PPI: Curagen two-hybrid",".7969",".399"
"FBgn0000253","FBgn0265959","Cam","rdgC","PPI: From other databases",".0072",".411"
"FBgn0015614","FBgn0051676","CanB2","CG31676","PPI: Finley lab two-hybrid",".1629",".366"
"FBgn0015614","FBgn0085431","CanB2","CG34402","PPI: Finley lab two-hybrid",".2246",".388"
"FBgn0031883","FBgn0032175","Caper","CG13131","PPI: Curagen two-hybrid","-.2037",".388"
"FBgn0004107","FBgn0037901","Cdk2","CG6744","PPI: Finley lab two-hybrid|PPI: From other databases",".2742",".339"
"FBgn0016131","FBgn0035469","Cdk4","CG14977","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.0432",".347"
"FBgn0032785","FBgn0038569","CG10026","CG7218","PPI: Finley lab two-hybrid|PPI: From other databases","-.1432",".406"
"FBgn0034437","FBgn0037537","CG10051","CG2767","PPI: Curagen two-hybrid","-.0938",".409"
"FBgn0034437","FBgn0035982","CG10051","CG4461","PPI: Curagen two-hybrid","-.2127",".392"
"FBgn0038454","FBgn0039544","CG10324","CG12877","PPI: Curagen two-hybrid",".688",".4"
"FBgn0035670","FBgn0010382","CG10472","CycE","PPI: Finley lab two-hybrid|PPI: From other databases","-.1618",".348"
"FBgn0039323","FBgn0034514","CG10559","CG13427","PPI: Curagen two-hybrid","-.3892",".396"
"FBgn0039323","FBgn0033442","CG10559","CG1690","PPI: Curagen two-hybrid",".2276",".388"
"FBgn0039323","FBgn0031268","CG10559","cold","PPI: Curagen two-hybrid","-.1332",".374"
"FBgn0039323","FBgn0284245","CG10559","eEF1alpha1","PPI: Curagen two-hybrid","-.0514",".116"
"FBgn0039323","FBgn0039487","CG10559","gb","PPI: Curagen two-hybrid","-.3882",".339"
"FBgn0039323","FBgn0036816","CG10559","Indy","PPI: Curagen two-hybrid","-.0576",".359"
"FBgn0039323","FBgn0066101","CG10559","LpR1","PPI: Curagen two-hybrid",".3049",".422"
"FBgn0039323","FBgn0004045","CG10559","Yp1","PPI: Curagen two-hybrid","-.145",".448"
"FBgn0039326","FBgn0045761","CG10562","CHKov1","PPI: Finley lab two-hybrid","-.0692",".396"
"FBgn0037911","FBgn0038569","CG10898","CG7218","PPI: Finley lab two-hybrid","-.0977",".373"
"FBgn0030519","FBgn0023516","CG11151","Pex5","PPI: Curagen two-hybrid",".5229",".38"
"FBgn0039249","FBgn0015288","CG11168","RpL22","PPI: Curagen two-hybrid",".1389",".26"
"FBgn0031849","FBgn0030217","CG11327","CG2124","PPI: Curagen two-hybrid","-.4169",".413"
"FBgn0031849","FBgn0051676","CG11327","CG31676","PPI: Curagen two-hybrid",".2281",".394"
"FBgn0040362","FBgn0051365","CG11379","CG31365","PPI: Curagen two-hybrid","-.3091",".426"
"FBgn0037162","FBgn0051365","CG11449","CG31365","PPI: Curagen two-hybrid","-.0763",".39"
"FBgn0035424","FBgn0032022","CG11505","CG14275","PPI: Curagen two-hybrid","-.2536",".405"
"FBgn0030540","FBgn0032022","CG11581","CG14275","PPI: Curagen two-hybrid","-.1245",".415"
"FBgn0030676","FBgn0034643","CG12379","CG10321","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".4443",".428"
"FBgn0032465","FBgn0037405","CG12404","CG1077","PPI: Curagen two-hybrid",".1519",".382"
"FBgn0036809","FBgn0031407","CG12477","CG4270","PPI: Curagen two-hybrid",".893",".401"
"FBgn0038968","FBgn0085431","CG12499","CG34402","PPI: Finley lab two-hybrid","-.1947",".6"
"FBgn0030483","FBgn0035044","CG12725","CG3663","PPI: Curagen two-hybrid","-.3106",".395"
"FBgn0035476","FBgn0051612","CG12766","CG31612","PPI: Curagen two-hybrid","-.1972",".355"
"FBgn0039544","FBgn0011723","CG12877","byn","PPI: Curagen two-hybrid",".4207",".415"
"FBgn0039544","FBgn0035208","CG12877","CG9184","PPI: Curagen two-hybrid","-.0032",".399"
"FBgn0039544","FBgn0029711","CG12877","Usf","PPI: Curagen two-hybrid",".5521",".424"
"FBgn0036652","FBgn0264443","CG13032","CG43861","PPI: Curagen two-hybrid",".0796",".441"
"FBgn0036596","FBgn0035611","CG13045","CG13285","PPI: Curagen two-hybrid",".1947",".408"
"FBgn0032126","FBgn0031436","CG13113","ND-B17.2","PPI: Curagen two-hybrid","-.1357",".27"
"FBgn0032175","FBgn0039680","CG13131","Cap-D2","PPI: Curagen two-hybrid","-.2377",".389"
"FBgn0032175","FBgn0000541","CG13131","E(bx)","PPI: Curagen two-hybrid","-.1892",".425"
"FBgn0032175","FBgn0264785","CG13131","Hph","PPI: Curagen two-hybrid","-.0163",".572"
