"Gen1","Gene2","Symbol1","Symbol2","Table Names","Weighted Correlation","Confidence"
"FBgn0004907","FBgn0051634","14-3-3zeta","Oatp26F","PPI: Curagen two-hybrid",".5339",".296"
"FBgn0004907","FBgn0262116","14-3-3zeta","RNASEK","PPI: Curagen two-hybrid",".3712",".283"
"FBgn0052016","FBgn0024909","4E-T","Taf7","PPI: Curagen two-hybrid",".7385",".369"
"FBgn0023130","FBgn0038209","a6","CG9722","PPI: Curagen two-hybrid","-.3318",".374"
"FBgn0027885","FBgn0263198","Aac11","Acn","PPI: Flybase Curated PPI|PPI: Hybrigenics two-hybrid|PPI: From other databases",".953",".55"
"FBgn0027885","FBgn0014189","Aac11","Hel25E","PPI: Curagen two-hybrid",".6391",".372"
"FBgn0031851","FBgn0011272","Aatf","RpL13","PPI: Curagen two-hybrid","-.1627",".225"
"FBgn0031851","FBgn0001990","Aatf","wek","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".6656",".318"
"FBgn0027090","FBgn0027093","Aats-gln","Aats-arg","PPI: DPiM coAP complex",".7496",".603"
"FBgn0027090","FBgn0034401","Aats-gln","CG15100","PPI: DPiM coAP complex",".5789",".411"
"FBgn0027090","FBgn0033351","Aats-gln","CG8235","PPI: DPiM coAP complex",".8697",".492"
"FBgn0027084","FBgn0027090","Aats-lys","Aats-gln","PPI: DPiM coAP complex",".7233",".527"
"FBgn0000017","FBgn0005631","Abl","robo1","PPI: Flybase Curated PPI|PPI: From other databases",".3658",".361"
"FBgn0011273","FBgn0062517","Acam","CG16984","PPI: Curagen two-hybrid",".9946",".438"
"FBgn0011273","FBgn0039501","Acam","CG5987","PPI: Curagen two-hybrid",".993",".247"
"FBgn0011273","FBgn0261985","Acam","Ptpmeg","PPI: Curagen two-hybrid","-",".259"
"FBgn0010100","FBgn0020299","Acon","stumps","PPI: From other databases","-.231",".385"
"FBgn0015583","FBgn0035849","Acp29AB","ERR","PPI: Curagen two-hybrid","-.0329",".398"
"FBgn0023415","FBgn0037439","Acp32CD","CG10286","PPI: Finley lab two-hybrid","-.1254",".39"
"FBgn0023415","FBgn0035594","Acp32CD","CG4597","PPI: Finley lab two-hybrid","-.0828",".375"
"FBgn0023415","FBgn0037074","Acp32CD","CG7324","PPI: Finley lab two-hybrid",".1297",".352"
"FBgn0023415","FBgn0030976","Acp32CD","CG7378","PPI: Finley lab two-hybrid",".339",".375"
"FBgn0023415","FBgn0033687","Acp32CD","CG8407","PPI: Finley lab two-hybrid",".3766",".395"
"FBgn0023415","FBgn0267967","Acp32CD","corolla","PPI: Finley lab two-hybrid",".3476",".4"
"FBgn0023415","FBgn0000422","Acp32CD","Ddc","PPI: Finley lab two-hybrid","-.0814",".392"
"FBgn0023415","FBgn0023517","Acp32CD","Pgam5","PPI: Finley lab two-hybrid","-.1719",".377"
"FBgn0023415","FBgn0027945","Acp32CD","ppl","PPI: Finley lab two-hybrid","-.1501",".379"
"FBgn0023415","FBgn0032847","Acp32CD","Taf13","PPI: Finley lab two-hybrid","-.1348",".318"
"FBgn0023415","FBgn0027779","Acp32CD","VhaSFD","PPI: Finley lab two-hybrid","-.0264",".361"
"FBgn0028658","FBgn0262116","Adat1","RNASEK","PPI: Curagen two-hybrid","-.0633",".413"
"FBgn0038172","FBgn0039942","Adgf-D","CG17163","PPI: Finley lab two-hybrid","-.1734",".45"
"FBgn0026602","FBgn0032211","Ady43A","CG13138","PPI: Curagen two-hybrid",".1713",".389"
"FBgn0026602","FBgn0003747","Ady43A","Gr5a","PPI: Curagen two-hybrid","-",".404"
"FBgn0005694","FBgn0031610","Aef1","CG15436","PPI: Curagen two-hybrid",".218",".411"
"FBgn0005694","FBgn0035213","Aef1","CG2199","PPI: Curagen two-hybrid",".2323",".5"
"FBgn0005694","FBgn0035144","Aef1","Kah","PPI: Curagen two-hybrid","-.2329",".361"
"FBgn0053138","FBgn0032511","AGBE","ND-B22","PPI: Curagen two-hybrid",".4741",".178"
"FBgn0041171","FBgn0003209","ago","raw","PPI: Hybrigenics two-hybrid","-.0894",".398"
"FBgn0033351","FBgn0036075","AIMP1","CG8065","PPI: Curagen two-hybrid","-.4019",".369"
"FBgn0010379","FBgn0035325","Akt1","CG13806","PPI: Finley lab two-hybrid","-.308",".307"
"FBgn0010379","FBgn0039970","Akt1","CG17508","PPI: Finley lab two-hybrid","-.0344",".326"
"FBgn0010379","FBgn0051679","Akt1","Tengl3","PPI: Finley lab two-hybrid","-.2973",".296"
"FBgn0010379","FBgn0019650","Akt1","toy","PPI: Finley lab two-hybrid",".5103",".381"
"FBgn0015575","FBgn0020910","alpha-Est7","RpL3","PPI: Curagen two-hybrid","-.491",".267"
"FBgn0259170","FBgn0086779","alpha-Man-Ia","step","PPI: Curagen two-hybrid",".185",".397"
"FBgn0250791","FBgn0035321","alphaSnap","CG1275","PPI: Finley lab two-hybrid|PPI: From other databases",".1639",".385"
"FBgn0250791","FBgn0034141","alphaSnap","CG8311","PPI: Finley lab two-hybrid","-.0977",".384"
"FBgn0250791","FBgn0039789","alphaSnap","CG9717","PPI: Finley lab two-hybrid|PPI: From other databases",".0968",".375"
"FBgn0250791","FBgn0035540","alphaSnap","Syx17","PPI: Finley lab two-hybrid|PPI: From other databases",".644",".463"
"FBgn0086361","FBgn0034360","alph","CG10927","PPI: Curagen two-hybrid",".5034",".526"
"FBgn0003270","FBgn0050417","amos","tbrd-3","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.0648",".415"
"FBgn0010380","FBgn0036828","AP-1-2beta","CG6841","PPI: Curagen two-hybrid",".2784",".2"
"FBgn0024833","FBgn0030089","AP-1mu","AP-1gamma","PPI: Flybase Curated PPI",".7213",".714"
"FBgn0034231","FBgn0000723","APC10","FER","PPI: Curagen two-hybrid","-.138",".296"
"FBgn0026598","FBgn0000117","Apc2","arm","PPI: Curagen two-hybrid|PPI: Flybase Curated PPI|PPI: From other databases","-.2906",".673"
"FBgn0026598","FBgn0023516","Apc2","Pex5","PPI: Curagen two-hybrid",".409",".329"
"FBgn0015589","FBgn0026598","Apc","Apc2","PPI: Flybase Curated PPI",".2308",".66"
"FBgn0261854","FBgn0026192","aPKC","par-6","PPI: Curagen two-hybrid|PPI: Flybase Curated PPI|PPI: From other databases","-.3355",".79"
"FBgn0000109","FBgn0029833","Aprt","MCTS1","PPI: Curagen two-hybrid",".4049",".401"
"FBgn0033926","FBgn0085411","Arc1","CG34382","PPI: Curagen two-hybrid","-.3802",".443"
"FBgn0000115","FBgn0262116","Arl1","RNASEK","PPI: Curagen two-hybrid",".2402",".372"
"FBgn0262716","FBgn0027603","Arp3","Ulp1","PPI: Curagen two-hybrid",".3474",".321"
"FBgn0011741","FBgn0035237","Arp6","CG13917","PPI: Curagen two-hybrid","-.0412",".394"
"FBgn0011741","FBgn0037810","Arp6","sle","PPI: Curagen two-hybrid",".2264",".393"
"FBgn0029095","FBgn0030503","aru","Tango2","PPI: Curagen two-hybrid","-.219",".403"
"FBgn0029094","FBgn0030054","asf1","Caf1-180","PPI: From other databases",".8959",".361"
"FBgn0034075","FBgn0023516","Asph","Pex5","PPI: Curagen two-hybrid","-.072",".353"
"FBgn0002069","FBgn0027090","AspRS","GlnRS","PPI: Flybase Curated PPI",".3136",".396"
"FBgn0036790","FBgn0038286","AstC-R1","CG6966","PPI: Curagen two-hybrid",".0763",".364"
"FBgn0260945","FBgn0039970","Atg1","CG17508","PPI: Finley lab two-hybrid",".1118",".307"
"FBgn0260945","FBgn0051679","Atg1","Tengl3","PPI: Finley lab two-hybrid","-.3276",".308"
"FBgn0035585","FBgn0036810","ATPsynCF6L","CG6885","PPI: Finley lab two-hybrid","-.1586",".261"
"FBgn0041581","FBgn0034033","AttB","CG8204","PPI: Curagen two-hybrid",".0464",".435"
"FBgn0041581","FBgn0039805","AttB","Cpr100A","PPI: Curagen two-hybrid",".1014",".404"
"FBgn0041581","FBgn0261397","AttB","didum","PPI: Curagen two-hybrid",".3178",".377"
"FBgn0041581","FBgn0262116","AttB","RNASEK","PPI: Curagen two-hybrid","-.3244",".413"
"FBgn0041581","FBgn0016983","AttB","smid","PPI: Curagen two-hybrid","-.0869",".343"
"FBgn0026597","FBgn0026598","Axn","Apc2","PPI: Flybase Curated PPI|PPI: From other databases",".3002",".366"
"FBgn0023407","FBgn0038123","B4","CG8508","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-",".43"
"FBgn0025525","FBgn0041707","bab2","7B2","PPI: Curagen two-hybrid","-.2567",".44"
"FBgn0025525","FBgn0039020","bab2","CG17141","PPI: Curagen two-hybrid",".3199",".452"
"FBgn0025525","FBgn0034499","bab2","Cpr56F","PPI: Curagen two-hybrid","-.1404",".393"
"FBgn0025525","FBgn0038271","bab2","UQCR-C1","PPI: Curagen two-hybrid","-.0604",".38"
"FBgn0025463","FBgn0011272","Bap60","RpL13","PPI: Curagen two-hybrid","-.0747",".262"
"FBgn0000163","FBgn0026192","baz","par-6","PPI: Flybase Curated PPI|PPI: From other databases",".5339",".652"
"FBgn0028970","FBgn0032910","betaggt-II","CG9265","PPI: Curagen two-hybrid",".0733",".367"
"FBgn0028970","FBgn0038251","betaggt-II","Hexim","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.0317",".422"
"FBgn0028970","FBgn0030853","betaggt-II","ND-24","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".2034",".274"
"FBgn0028970","FBgn0027296","betaggt-II","temp","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid|PPI: Flybase Curated PPI|PPI: From other databases",".6002",".526"
"FBgn0000182","FBgn0263351","BicC","AP-2mu","PPI: Curagen two-hybrid",".1568",".392"
"FBgn0000182","FBgn0001120","BicC","gnu","PPI: Curagen two-hybrid",".9682",".574"
"FBgn0000182","FBgn0004882","BicC","orb","PPI: Flybase Curated PPI|PPI: From other databases",".8479",".423"
"FBgn0045759","FBgn0085411","bin","CG34382","PPI: Finley lab two-hybrid","-.0243",".511"
"FBgn0004133","FBgn0032049","blow","Bace","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.2386",".38"
"FBgn0004133","FBgn0030507","blow","CG11164","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.1832",".456"
"FBgn0004133","FBgn0032400","blow","CG6770","PPI: Curagen two-hybrid",".1837",".407"
"FBgn0004133","FBgn0038834","blow","RpS30","PPI: Curagen two-hybrid","-",".192"
"FBgn0004133","FBgn0283473","blow","S6KL","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.2895",".417"
"FBgn0000206","FBgn0003366","boss","sev","PPI: Flybase Curated PPI|PPI: From other databases",".1887",".351"
"FBgn0000229","FBgn0035802","bsk","Pura","PPI: Finley lab two-hybrid",".0893",".37"
"FBgn0000229","FBgn0033782","bsk","sug","PPI: Finley lab two-hybrid","-.0669",".377"
"FBgn0045862","FBgn0085411","btz","CG34382","PPI: Finley lab two-hybrid","-.2375",".535"
"FBgn0040491","FBgn0263108","Buffy","BtbVII","PPI: Hybrigenics two-hybrid","-.0222",".383"
"FBgn0000239","FBgn0033985","bur","CG10257","PPI: Curagen two-hybrid","-.0299",".421"
"FBgn0000239","FBgn0036286","bur","CG10616","PPI: Curagen two-hybrid","-.1675",".448"
"FBgn0000239","FBgn0035691","bur","CG7386","PPI: Curagen two-hybrid","-.0241",".42"
"FBgn0000239","FBgn0039711","bur","CG7824","PPI: Curagen two-hybrid",".6577",".45"
"FBgn0000239","FBgn0020496","bur","CtBP","PPI: Curagen two-hybrid",".5199",".474"
"FBgn0000239","FBgn0001226","bur","Hsp27","PPI: Curagen two-hybrid",".1656",".433"
"FBgn0004856","FBgn0037550","Bx42","CG9667","PPI: Flybase Curated PPI",".8072",".249"
"FBgn0031367","FBgn0034416","c-cup","CG15109","PPI: Curagen two-hybrid",".979",".37"
"FBgn0030054","FBgn0033526","Caf1-180","Caf1-105","PPI: Flybase Curated PPI|PPI: From other databases",".9551",".572"
"FBgn0015614","FBgn0033729","CanB2","Cpr49Af","PPI: Finley lab two-hybrid","-.0978",".351"
"FBgn0013759","FBgn0024909","CASK","Taf7","PPI: Curagen two-hybrid",".0067",".325"
"FBgn0052183","FBgn0019650","Ccn","toy","PPI: Curagen two-hybrid",".2546",".406"
"FBgn0004780","FBgn0039637","Ccp84Ad","Ctl2","PPI: Curagen two-hybrid",".0203",".418"
"FBgn0039774","FBgn0026192","CDase","par-6","PPI: Curagen two-hybrid","-.1945",".385"
"FBgn0031952","FBgn0035325","cdc14","CG13806","PPI: Finley lab two-hybrid","-.146",".336"
"FBgn0013435","FBgn0023091","Cdc2rk","dimm","PPI: Finley lab two-hybrid|PPI: From other databases","-.2717",".478"
"FBgn0011573","FBgn0039970","Cdc37","CG17508","PPI: Finley lab two-hybrid","-.0369",".376"
"FBgn0010341","FBgn0023081","Cdc42","gek","PPI: Flybase Curated PPI|PPI: From other databases",".3706",".43"
"FBgn0010341","FBgn0026192","Cdc42","par-6","PPI: Flybase Curated PPI|PPI: From other databases",".5211",".587"
"FBgn0265574","FBgn0032005","Cdc5","Snx6","PPI: Curagen two-hybrid",".0288",".329"
"FBgn0004106","FBgn0010314","Cdk1","Cks30A","PPI: Flybase Curated PPI|PPI: From other databases",".927",".669"
"FBgn0004106","FBgn0033782","Cdk1","sug","PPI: Finley lab two-hybrid","-.3883",".211"
"FBgn0030269","FBgn0011272","CDK2AP1","RpL13","PPI: Curagen two-hybrid","-.096",".218"
"FBgn0004107","FBgn0039970","Cdk2","CG17508","PPI: Finley lab two-hybrid","-.1503",".278"
"FBgn0004107","FBgn0010314","Cdk2","Cks30A","PPI: From other databases",".9219",".64"
"FBgn0004107","FBgn0023091","Cdk2","dimm","PPI: Finley lab two-hybrid","-.4568",".419"
"FBgn0004107","FBgn0002989","Cdk2","okr","PPI: Finley lab two-hybrid|PPI: From other databases",".9167",".354"
"FBgn0004107","FBgn0033782","Cdk2","sug","PPI: Finley lab two-hybrid","-.4373",".291"
"FBgn0004107","FBgn0019650","Cdk2","toy","PPI: Finley lab two-hybrid","-.0286",".341"
"FBgn0016131","FBgn0035325","Cdk4","CG13806","PPI: Finley lab two-hybrid","-.0282",".331"
"FBgn0016131","FBgn0000543","Cdk4","ecd","PPI: Finley lab two-hybrid",".3639",".395"
"FBgn0016131","FBgn0033782","Cdk4","sug","PPI: Finley lab two-hybrid","-.1569",".341"
"FBgn0016131","FBgn0051679","Cdk4","Tengl3","PPI: Finley lab two-hybrid","-.4818",".316"
"FBgn0013762","FBgn0039970","Cdk5","CG17508","PPI: Finley lab two-hybrid",".0186",".394"
"FBgn0013762","FBgn0051679","Cdk5","Tengl3","PPI: Finley lab two-hybrid","-.3762",".321"
"FBgn0015618","FBgn0037359","Cdk8","MED27","PPI: Flybase Curated PPI|PPI: From other databases",".6292",".429"
"FBgn0026141","FBgn0265416","Cdlc2","Neto","PPI: Curagen two-hybrid",".0908",".384"
"FBgn0261532","FBgn0000182","cdm","BicC","PPI: Curagen two-hybrid",".3048",".408"
"FBgn0032785","FBgn0000042","CG10026","Act5C","PPI: Finley lab two-hybrid|PPI: From other databases",".1884",".276"
"FBgn0032785","FBgn0010548","CG10026","Aldh-III","PPI: Finley lab two-hybrid|PPI: From other databases",".2596",".468"
"FBgn0032785","FBgn0025781","CG10026","Cdc16","PPI: Finley lab two-hybrid|PPI: From other databases","-.2395",".331"
"FBgn0032785","FBgn0029664","CG10026","CG10802","PPI: Finley lab two-hybrid|PPI: From other databases","-.2041",".4"
"FBgn0032785","FBgn0029663","CG10026","CG10804","PPI: Finley lab two-hybrid|PPI: From other databases","-.0371",".406"
"FBgn0032785","FBgn0035241","CG10026","CG12105","PPI: Finley lab two-hybrid|PPI: From other databases",".0197",".372"
"FBgn0032785","FBgn0035321","CG10026","CG1275","PPI: Finley lab two-hybrid|PPI: From other databases",".2012",".381"
"FBgn0032785","FBgn0040972","CG10026","CG16978","PPI: Finley lab two-hybrid|PPI: From other databases","-.0522",".389"
"FBgn0032785","FBgn0052199","CG10026","CG32199","PPI: Finley lab two-hybrid|PPI: From other databases","-.0957",".351"
"FBgn0032785","FBgn0035091","CG10026","CG3829","PPI: Finley lab two-hybrid|PPI: From other databases",".5582",".424"
"FBgn0032785","FBgn0032664","CG10026","CG5755","PPI: Finley lab two-hybrid|PPI: From other databases",".2477",".363"
"FBgn0032785","FBgn0037807","CG10026","CG6293","PPI: Finley lab two-hybrid|PPI: From other databases","-.1787",".393"
"FBgn0032785","FBgn0038569","CG10026","CG7218","PPI: Finley lab two-hybrid|PPI: From other databases","-.1432",".406"
"FBgn0032785","FBgn0031478","CG10026","CG8814","PPI: Finley lab two-hybrid|PPI: From other databases",".0828",".372"
"FBgn0032785","FBgn0039789","CG10026","CG9717","PPI: Finley lab two-hybrid|PPI: From other databases",".0298",".374"
"FBgn0032785","FBgn0010382","CG10026","CycE","PPI: Finley lab two-hybrid|PPI: From other databases","-.2785",".363"
"FBgn0032785","FBgn0031250","CG10026","Ent1","PPI: Finley lab two-hybrid|PPI: From other databases",".2152",".365"
"FBgn0032785","FBgn0035498","CG10026","Fit1","PPI: Finley lab two-hybrid|PPI: From other databases",".1289",".384"
"FBgn0032785","FBgn0001122","CG10026","Galphao","PPI: Finley lab two-hybrid|PPI: From other databases","-.0498",".36"
"FBgn0032785","FBgn0038277","CG10026","RpS5b","PPI: Finley lab two-hybrid|PPI: From other databases","-.285",".208"
"FBgn0032785","FBgn0040623","CG10026","Spase12","PPI: Finley lab two-hybrid|PPI: From other databases","-.1567",".234"
"FBgn0032785","FBgn0031972","CG10026","Wwox","PPI: Finley lab two-hybrid|PPI: From other databases",".2117",".362"
"FBgn0032785","FBgn0025693","CG10026","ZnT41F","PPI: Finley lab two-hybrid|PPI: From other databases",".0898",".456"
"FBgn0035715","FBgn0037265","CG10103","spartin","PPI: Curagen two-hybrid","-.0099",".395"
"FBgn0033951","FBgn0033912","CG10139","RpS23","PPI: Curagen two-hybrid","-.1467",".211"
"FBgn0036361","FBgn0000644","CG10154","Fcp3C","PPI: Curagen two-hybrid","-.0826",".389"
"FBgn0033021","FBgn0262116","CG10417","RNASEK","PPI: Curagen two-hybrid",".0134",".34"
"FBgn0037059","FBgn0032005","CG10510","Snx6","PPI: Curagen two-hybrid","-.0773",".385"
"FBgn0037059","FBgn0038862","CG10510","Usp8","PPI: Curagen two-hybrid",".4264",".3"
"FBgn0036291","FBgn0266671","CG10681","Sec6","PPI: Curagen two-hybrid",".3658",".404"
"FBgn0034478","FBgn0040371","CG10822","CG12470","PPI: Curagen two-hybrid",".9708",".496"
"FBgn0035455","FBgn0038123","CG10862","CG8508","PPI: Finley lab two-hybrid",".9948",".392"
"FBgn0034360","FBgn0053129","CG10927","CG33129","PPI: Curagen two-hybrid",".2805",".43"
"FBgn0034360","FBgn0037001","CG10927","ND-39","PPI: Curagen two-hybrid","-.274",".248"
"FBgn0036320","FBgn0032005","CG10943","Snx6","PPI: Curagen two-hybrid",".3066",".399"
