"Gen1","Gene2","Symbol1","Symbol2","Table Names","Weighted Correlation","Confidence"
"FBgn0010339","FBgn0260749","128up","Utx","PPI: Curagen two-hybrid",".1909",".407"
"FBgn0020238","FBgn0035213","14-3-3epsilon","CG2199","PPI: Curagen two-hybrid",".4258",".276"
"FBgn0020238","FBgn0026431","14-3-3epsilon","Grip75","PPI: From other databases",".5526",".164"
"FBgn0020238","FBgn0026317","14-3-3epsilon","Tsc1","PPI: Flybase Curated PPI|PPI: From other databases",".2391",".239"
"FBgn0004907","FBgn0026317","14-3-3zeta","Tsc1","PPI: Flybase Curated PPI|PPI: From other databases","-.1133",".29"
"FBgn0004907","FBgn0046214","14-3-3zeta","vig2","PPI: Curagen two-hybrid","-.0327",".318"
"FBgn0004907","FBgn0034970","14-3-3zeta","yki","PPI: Flybase Curated PPI|PPI: From other databases","-.1678",".302"
"FBgn0052016","FBgn0001961","4E-T","Arpc1","PPI: Curagen two-hybrid","-.089",".326"
"FBgn0052016","FBgn0024491","4E-T","Bin1","PPI: Curagen two-hybrid",".6641",".379"
"FBgn0052016","FBgn0032444","4E-T","CCT4","PPI: Curagen two-hybrid",".3636",".342"
"FBgn0052016","FBgn0037473","4E-T","CG10068","PPI: Curagen two-hybrid",".4757",".389"
"FBgn0052016","FBgn0040359","4E-T","CG11380","PPI: Curagen two-hybrid","-.1667",".396"
"FBgn0052016","FBgn0032127","4E-T","CG13114","PPI: Curagen two-hybrid",".4062",".389"
"FBgn0052016","FBgn0031270","4E-T","CG13689","PPI: Curagen two-hybrid",".7201",".412"
"FBgn0052016","FBgn0031579","4E-T","CG15422","PPI: Curagen two-hybrid","-.2748",".392"
"FBgn0052016","FBgn0031608","4E-T","CG15435","PPI: Curagen two-hybrid",".6332",".418"
"FBgn0052016","FBgn0052409","4E-T","CG32409","PPI: Curagen two-hybrid",".5736",".4"
"FBgn0052016","FBgn0266000","4E-T","CG44774","PPI: Curagen two-hybrid",".3898",".41"
"FBgn0052016","FBgn0032303","4E-T","CG6508","PPI: Curagen two-hybrid",".4018",".322"
"FBgn0052016","FBgn0033375","4E-T","CG8078","PPI: Curagen two-hybrid",".2752",".431"
"FBgn0052016","FBgn0033702","4E-T","CG8854","PPI: Curagen two-hybrid","-.2341",".363"
"FBgn0052016","FBgn0086758","4E-T","chinmo","PPI: Curagen two-hybrid","-.2083",".397"
"FBgn0052016","FBgn0034499","4E-T","Cpr56F","PPI: Curagen two-hybrid","-.1968",".371"
"FBgn0052016","FBgn0036617","4E-T","Cpr72Ea","PPI: Curagen two-hybrid",".087",".364"
"FBgn0052016","FBgn0000157","4E-T","Dll","PPI: Curagen two-hybrid",".3574",".37"
"FBgn0052016","FBgn0040670","4E-T","e(y)2b","PPI: Curagen two-hybrid","-.1933",".407"
"FBgn0052016","FBgn0005558","4E-T","ey","PPI: Curagen two-hybrid",".2723",".381"
"FBgn0052016","FBgn0023550","4E-T","FarO","PPI: Curagen two-hybrid","-.2813",".414"
"FBgn0052016","FBgn0015222","4E-T","Fer1HCH","PPI: Curagen two-hybrid","-.3231",".4"
"FBgn0052016","FBgn0034372","4E-T","Gint3","PPI: Curagen two-hybrid",".1415",".392"
"FBgn0052016","FBgn0027794","4E-T","Lrpprc2","PPI: Curagen two-hybrid","-.122",".394"
"FBgn0052016","FBgn0029003","4E-T","mab-21","PPI: Curagen two-hybrid",".4536",".413"
"FBgn0052016","FBgn0004419","4E-T","me31B","PPI: Curagen two-hybrid",".5944",".454"
"FBgn0052016","FBgn0002781","4E-T","mod(mdg4)","PPI: Curagen two-hybrid",".6259",".435"
"FBgn0052016","FBgn0026409","4E-T","Mpcp","PPI: Curagen two-hybrid","-.4021",".32"
"FBgn0052016","FBgn0036462","4E-T","mRpL39","PPI: Curagen two-hybrid",".5071",".453"
"FBgn0052016","FBgn0004172","4E-T","Mst84Da","PPI: Curagen two-hybrid","-.2375",".407"
"FBgn0052016","FBgn0011279","4E-T","Obp69a","PPI: Curagen two-hybrid","-.3022",".364"
"FBgn0052016","FBgn0026777","4E-T","Rad23","PPI: Curagen two-hybrid",".7274",".472"
"FBgn0052016","FBgn0037707","4E-T","RnpS1","PPI: Curagen two-hybrid",".6265",".276"
