"Gen1","Gene2","Symbol1","Symbol2","Table Names","Weighted Correlation","Confidence"
"FBgn0010339","FBgn0033317","128up","CG8635","PPI: DPiM coAP complex",".9069",".536"
"FBgn0020238","FBgn0040309","14-3-3epsilon","Jafrac1","PPI: From other databases","-.2025",".223"
"FBgn0004907","FBgn0259794","14-3-3zeta","sinah","PPI: Curagen two-hybrid","-.2858",".297"
"FBgn0004907","FBgn0264087","14-3-3zeta","Slob","PPI: From other databases",".1095",".284"
"FBgn0004907","FBgn0028902","14-3-3zeta","Tektin-A","PPI: Curagen two-hybrid","-.273",".265"
"FBgn0260793","FBgn0087002","2mit","apolpp","PPI: Curagen two-hybrid",".1463",".424"
"FBgn0052016","FBgn0001961","4E-T","Arpc1","PPI: Curagen two-hybrid","-.089",".326"
"FBgn0052016","FBgn0032127","4E-T","CG13114","PPI: Curagen two-hybrid",".4062",".389"
"FBgn0052016","FBgn0033375","4E-T","CG8078","PPI: Curagen two-hybrid",".2752",".431"
"FBgn0052016","FBgn0026777","4E-T","Rad23","PPI: Curagen two-hybrid",".7274",".472"
"FBgn0031851","FBgn0029936","Aatf","CG4617","PPI: Curagen two-hybrid",".7502",".269"
"FBgn0000017","FBgn0004106","Abl","Cdk1","PPI: Flybase Curated PPI",".5025",".291"
"FBgn0036372","FBgn0264607","Abp1","CaMKII","PPI: Curagen two-hybrid",".1074",".349"
"FBgn0011273","FBgn0264607","Acam","CaMKII","PPI: Curagen two-hybrid","-.1108",".289"
"FBgn0011273","FBgn0010015","Acam","CanA1","PPI: Curagen two-hybrid","-.1402",".492"
"FBgn0011273","FBgn0261397","Acam","didum","PPI: Curagen two-hybrid","-.2429",".527"
"FBgn0033246","FBgn0042102","ACC","CG18745","PPI: Finley lab two-hybrid",".2097",".381"
"FBgn0000022","FBgn0267821","ac","da","PPI: Flybase Curated PPI|PPI: From other databases",".2687",".432"
"FBgn0002855","FBgn0039380","Acp26Aa","CG5890","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.0366",".433"
"FBgn0002856","FBgn0039380","Acp26Ab","CG5890","PPI: Finley lab two-hybrid","-.0432",".389"
"FBgn0023415","FBgn0027779","Acp32CD","VhaSFD","PPI: Finley lab two-hybrid","-.0264",".361"
"FBgn0015585","FBgn0031626","Acp63F","CG15631","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".3894",".401"
"FBgn0000043","FBgn0000044","Act42A","Act57B","PPI: From other databases","-.2559",".542"
"FBgn0000044","FBgn0000045","Act57B","Act79B","PPI: From other databases",".0741",".702"
"FBgn0000044","FBgn0000047","Act57B","Act88F","PPI: From other databases",".0906",".708"
"FBgn0000044","FBgn0000150","Act57B","awd","PPI: Flybase Curated PPI|PPI: From other databases",".1208",".181"
"FBgn0000044","FBgn0261458","Act57B","capt","PPI: Flybase Curated PPI|PPI: From other databases","-.1112",".501"
"FBgn0000044","FBgn0034577","Act57B","cpa","PPI: Flybase Curated PPI|PPI: From other databases","-.242",".272"
"FBgn0000044","FBgn0011570","Act57B","cpb","PPI: Flybase Curated PPI|PPI: From other databases","-.2492",".243"
"FBgn0000044","FBgn0261397","Act57B","didum","PPI: Flybase Curated PPI|PPI: From other databases","-.3565",".415"
"FBgn0000045","FBgn0000046","Act79B","Act87E","PPI: From other databases",".5016",".706"
"FBgn0000045","FBgn0261458","Act79B","capt","PPI: From other databases","-.2227",".505"
"FBgn0000045","FBgn0260049","Act79B","flr","PPI: From other databases","-.1845",".369"
"FBgn0000045","FBgn0264695","Act79B","Mhc","PPI: Flybase Curated PPI|PPI: From other databases",".5177",".552"
"FBgn0000045","FBgn0263006","Act79B","SERCA","PPI: Curagen two-hybrid",".8451",".365"
"FBgn0000046","FBgn0010217","Act87E","ATPsynbeta","PPI: Curagen two-hybrid",".5947",".382"
"FBgn0000046","FBgn0040080","Act87E","pins","PPI: Curagen two-hybrid","-.1663",".304"
"FBgn0000667","FBgn0004117","Actn","Tm2","PPI: Flybase Curated PPI|PPI: From other databases",".908",".466"
"FBgn0037555","FBgn0031453","Ada2b","Bacc","PPI: Curagen two-hybrid",".1781",".276"
"FBgn0037555","FBgn0025463","Ada2b","Bap60","PPI: Curagen two-hybrid",".7228",".308"
"FBgn0037555","FBgn0039044","Ada2b","p53","PPI: Flybase Curated PPI|PPI: From other databases",".4481",".29"
"FBgn0037555","FBgn0036666","Ada2b","TSG101","PPI: Curagen two-hybrid","-.1927",".229"
"FBgn0030891","FBgn0039044","Ada3","p53","PPI: From other databases",".2521",".371"
"FBgn0038341","FBgn0031626","AdamTS-A","CG15631","PPI: Curagen two-hybrid","-.1832",".406"
"FBgn0038341","FBgn0042102","AdamTS-A","CG18745","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.0032",".502"
"FBgn0005694","FBgn0031610","Aef1","CG15436","PPI: Curagen two-hybrid",".218",".411"
"FBgn0026309","FBgn0042102","aft","CG18745","PPI: Finley lab two-hybrid","-.1549",".465"
"FBgn0041171","FBgn0002921","ago","Atpalpha","PPI: Hybrigenics two-hybrid","-",".396"
"FBgn0041171","FBgn0031453","ago","Bacc","PPI: Hybrigenics two-hybrid","-.0313",".43"
"FBgn0041171","FBgn0263108","ago","BtbVII","PPI: Hybrigenics two-hybrid",".3215",".419"
"FBgn0041171","FBgn0026144","ago","CBP","PPI: Hybrigenics two-hybrid",".3797",".415"
"FBgn0041171","FBgn0035702","ago","CG10147","PPI: Hybrigenics two-hybrid",".1622",".398"
"FBgn0041171","FBgn0040398","ago","CG14629","PPI: Hybrigenics two-hybrid","-.0374",".382"
"FBgn0041171","FBgn0029820","ago","CG16721","PPI: Hybrigenics two-hybrid","-.4434",".405"
"FBgn0041171","FBgn0039972","ago","CG17018","PPI: Hybrigenics two-hybrid",".3288",".361"
"FBgn0041171","FBgn0052638","ago","CG32638","PPI: Hybrigenics two-hybrid","-.1472",".398"
"FBgn0041171","FBgn0259735","ago","CG42389","PPI: Hybrigenics two-hybrid","-.1119",".373"
"FBgn0041171","FBgn0032509","ago","CG6523","PPI: Hybrigenics two-hybrid",".1745",".354"
"FBgn0041171","FBgn0011760","ago","ctp","PPI: Hybrigenics two-hybrid","-",".381"
"FBgn0041171","FBgn0022893","ago","Df31","PPI: Hybrigenics two-hybrid",".4771",".414"
"FBgn0041171","FBgn0267390","ago","dop","PPI: Hybrigenics two-hybrid",".089",".43"
"FBgn0041171","FBgn0000490","ago","dpp","PPI: Hybrigenics two-hybrid","-.2502",".389"
"FBgn0041171","FBgn0260243","ago","E(var)3-9","PPI: Hybrigenics two-hybrid",".5323",".35"
"FBgn0041171","FBgn0001186","ago","Hex-A","PPI: Hybrigenics two-hybrid","-.1856",".344"
"FBgn0041171","FBgn0001197","ago","His2Av","PPI: Hybrigenics two-hybrid",".6772",".197"
"FBgn0041171","FBgn0266599","ago","Hsc70-4","PPI: Hybrigenics two-hybrid","-.1741",".137"
"FBgn0041171","FBgn0013276","ago","Hsp70Ab","PPI: Hybrigenics two-hybrid",".4992",".349"
"FBgn0041171","FBgn0015776","ago","nrv1","PPI: Hybrigenics two-hybrid","-.2293",".351"
"FBgn0041171","FBgn0025741","ago","PlexA","PPI: Hybrigenics two-hybrid",".6567",".449"
"FBgn0041171","FBgn0259214","ago","PMCA","PPI: Hybrigenics two-hybrid","-",".357"
"FBgn0041171","FBgn0052133","ago","Ptip","PPI: Hybrigenics two-hybrid",".639",".278"
"FBgn0041171","FBgn0003209","ago","raw","PPI: Hybrigenics two-hybrid","-.0894",".398"
"FBgn0041171","FBgn0014026","ago","RpL7A","PPI: Hybrigenics two-hybrid","-.1651",".394"
"FBgn0041171","FBgn0000100","ago","RpLP0","PPI: Hybrigenics two-hybrid","-.1326",".207"
"FBgn0041171","FBgn0004867","ago","RpS2","PPI: Hybrigenics two-hybrid","-.2065",".212"
"FBgn0041171","FBgn0002622","ago","RpS3","PPI: Curagen two-hybrid","-.2187",".182"
"FBgn0041171","FBgn0002590","ago","RpS5a","PPI: Hybrigenics two-hybrid","-.2303",".193"
"FBgn0041171","FBgn0283472","ago","S6k","PPI: Hybrigenics two-hybrid","-.3362",".341"
"FBgn0041171","FBgn0005278","ago","Sam-S","PPI: Hybrigenics two-hybrid",".2338",".295"
"FBgn0041171","FBgn0011260","ago","Sema2a","PPI: Hybrigenics two-hybrid",".2586",".454"
"FBgn0041171","FBgn0263236","ago","SP1029","PPI: Hybrigenics two-hybrid","-.0091",".443"
"FBgn0041171","FBgn0284408","ago","trol","PPI: Hybrigenics two-hybrid","-",".379"
"FBgn0041171","FBgn0003943","ago","Ubi-p63E","PPI: Hybrigenics two-hybrid","-.2607",".223"
"FBgn0041171","FBgn0010516","ago","wal","PPI: Hybrigenics two-hybrid","-.0528",".346"
"FBgn0041171","FBgn0040066","ago","wds","PPI: Hybrigenics two-hybrid",".4944",".367"
"FBgn0036515","FBgn0028577","AIMP2","hfp","PPI: Curagen two-hybrid",".0008",".346"
"FBgn0033754","FBgn0264975","Ak6","Nrg","PPI: Curagen two-hybrid",".046",".357"
"FBgn0010379","FBgn0031626","Akt1","CG15631","PPI: Curagen two-hybrid","-.2667",".329"
"FBgn0010379","FBgn0042102","Akt1","CG18745","PPI: Finley lab two-hybrid","-.3735",".42"
"FBgn0010379","FBgn0035510","Akt1","Cpr64Aa","PPI: Finley lab two-hybrid","-.1799",".326"
"FBgn0010379","FBgn0004597","Akt1","CycC","PPI: Finley lab two-hybrid",".4776",".386"
"FBgn0010379","FBgn0000546","Akt1","EcR","PPI: Finley lab two-hybrid",".5916",".362"
"FBgn0010379","FBgn0025334","Akt1","PHDP","PPI: Finley lab two-hybrid",".0118",".323"
"FBgn0010379","FBgn0260439","Akt1","Pp2A-29B","PPI: Flybase Curated PPI",".589",".225"
"FBgn0027094","FBgn0036950","AlaRS","CG6996","PPI: Finley lab two-hybrid","-.1433",".336"
"FBgn0027094","FBgn0085407","AlaRS","Pvf3","PPI: Finley lab two-hybrid","-.0272",".347"
"FBgn0027094","FBgn0031957","AlaRS","TwdlE","PPI: Finley lab two-hybrid","-.2098",".336"
"FBgn0260972","FBgn0025463","alc","Bap60","PPI: Curagen two-hybrid","-.3209",".307"
"FBgn0260972","FBgn0028371","alc","jbug","PPI: Curagen two-hybrid",".1826",".309"
"FBgn0260972","FBgn0004174","alc","Mst84Dc","PPI: Curagen two-hybrid",".2833",".316"
"FBgn0030007","FBgn0039175","alpha-PheRS","beta-PheRS","PPI: Flybase Curated PPI",".8492",".587"
"FBgn0025725","FBgn0004174","alphaCOP","Mst84Dc","PPI: Curagen two-hybrid","-.2134",".337"
"FBgn0035657","FBgn0026196","alphaKap4","nop5","PPI: Curagen two-hybrid","-.4395",".31"
"FBgn0250791","FBgn0037084","alphaSnap","Syx6","PPI: Finley lab two-hybrid|PPI: From other databases",".297",".403"
"FBgn0003884","FBgn0086358","alphaTub84B","Tab2","PPI: From other databases","-.2191",".251"
"FBgn0003885","FBgn0086358","alphaTub84D","Tab2","PPI: From other databases","-.1393",".175"
"FBgn0027356","FBgn0034377","Amph","CG15071","PPI: Curagen two-hybrid",".0135",".286"
"FBgn0000097","FBgn0037619","aop","CG8159","PPI: Curagen two-hybrid","-.0398",".404"
"FBgn0010380","FBgn0263351","AP-1-2beta","AP-2mu","PPI: Flybase Curated PPI|PPI: From other databases",".3973",".525"
"FBgn0010380","FBgn0013749","AP-1-2beta","Arf102F","PPI: Flybase Curated PPI",".5177",".362"
"FBgn0263351","FBgn0261556","AP-2mu","CG42674","PPI: Curagen two-hybrid",".0513",".387"
"FBgn0263351","FBgn0000360","AP-2mu","Cp38","PPI: Curagen two-hybrid",".202",".379"
"FBgn0263351","FBgn0024371","AP-2mu","E2f2","PPI: Curagen two-hybrid",".5098",".458"
"FBgn0263351","FBgn0013272","AP-2mu","Gp150","PPI: Curagen two-hybrid",".0872",".422"
"FBgn0263351","FBgn0267385","AP-2mu","PyK","PPI: Curagen two-hybrid","-.4159",".324"
"FBgn0263351","FBgn0015288","AP-2mu","RpL22","PPI: Curagen two-hybrid","-.0972",".218"
"FBgn0263351","FBgn0031493","AP-2mu","Sf3b2","PPI: Curagen two-hybrid",".4148",".215"
"FBgn0263351","FBgn0003870","AP-2mu","ttk","PPI: Curagen two-hybrid",".751",".404"
"FBgn0026150","FBgn0032721","ApepP","CG10602","PPI: Finley lab two-hybrid|PPI: From other databases",".5469",".441"
"FBgn0026150","FBgn0039858","ApepP","CycG","PPI: Finley lab two-hybrid","-.2481",".425"
"FBgn0261854","FBgn0025463","aPKC","Bap60","PPI: Curagen two-hybrid","-.1995",".375"
"FBgn0015903","FBgn0031610","apt","CG15436","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".4652",".433"
"FBgn0038893","FBgn0031626","Archease","CG15631","PPI: Curagen two-hybrid","-.4447",".368"
"FBgn0013749","FBgn0010348","Arf102F","Arf79F","PPI: Finley lab two-hybrid|PPI: Flybase Curated PPI|PPI: From other databases",".7684",".493"
"FBgn0013750","FBgn0087002","Arf51F","apolpp","PPI: Hybrigenics two-hybrid","-.0208",".354"
"FBgn0013750","FBgn0039110","Arf51F","RanBP3","PPI: Hybrigenics two-hybrid",".2111",".378"
"FBgn0013750","FBgn0021995","Arf51F","Rs1","PPI: Hybrigenics two-hybrid",".3925",".24"
"FBgn0037182","FBgn0052672","ArfGAP3","Atg8a","PPI: Curagen two-hybrid",".1094",".38"
"FBgn0037182","FBgn0025463","ArfGAP3","Bap60","PPI: Curagen two-hybrid",".6218",".356"
"FBgn0037182","FBgn0034483","ArfGAP3","CG16894","PPI: Curagen two-hybrid","-.336",".352"
"FBgn0037182","FBgn0035213","ArfGAP3","CG2199","PPI: Curagen two-hybrid",".5019",".394"
"FBgn0037182","FBgn0025676","ArfGAP3","CkIIalpha-i3","PPI: Curagen two-hybrid","-.0549",".368"
"FBgn0037182","FBgn0284245","ArfGAP3","eEF1alpha1","PPI: Curagen two-hybrid",".6625",".212"
"FBgn0037182","FBgn0037470","ArfGAP3","Tailor","PPI: Curagen two-hybrid",".3935",".38"
"FBgn0025186","FBgn0032051","ari-2","CG13097","PPI: Curagen two-hybrid",".505",".289"
"FBgn0025186","FBgn0031626","ari-2","CG15631","PPI: Curagen two-hybrid","-.2295",".401"
"FBgn0000115","FBgn0015019","Arl1","CCT3","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".2052",".354"
"FBgn0000115","FBgn0028546","Arl1","ics","PPI: Curagen two-hybrid",".0156",".429"
"FBgn0000115","FBgn0036349","Arl1","SNCF","PPI: Curagen two-hybrid",".3988",".377"
"FBgn0004908","FBgn0039041","Arl2","CG13838","PPI: Curagen two-hybrid",".2531",".424"
"FBgn0004908","FBgn0011760","Arl2","ctp","PPI: Curagen two-hybrid",".2451",".462"
"FBgn0004908","FBgn0028325","Arl2","l(1)G0334","PPI: Curagen two-hybrid","-.5782",".347"
"FBgn0004908","FBgn0037328","Arl2","RpL35A","PPI: Curagen two-hybrid","-.279",".237"
"FBgn0035866","FBgn0013749","Arl5","Arf102F","PPI: Finley lab two-hybrid|PPI: From other databases",".2827",".489"
"FBgn0000117","FBgn0000499","arm","dsh","PPI: Flybase Curated PPI",".6027",".435"
"FBgn0000117","FBgn0086384","arm","Mer","PPI: From other databases",".4443",".445"
"FBgn0000117","FBgn0025637","arm","SkpA","PPI: From other databases",".7843",".576"
"FBgn0031050","FBgn0000181","Arp10","bic","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.0941",".398"
"FBgn0031050","FBgn0035918","Arp10","Cdc6","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".4106",".342"
