"Gen1","Gene2","Symbol1","Symbol2","Table Names","Weighted Correlation","Confidence"
"FBgn0020238","FBgn0026430","14-3-3epsilon","Grip84","PPI: From other databases",".0723",".168"
"FBgn0052016","FBgn0029003","4E-T","mab-21","PPI: Curagen two-hybrid",".4536",".413"
"FBgn0028965","FBgn0038922","A16","CG6439","PPI: Curagen two-hybrid","-.4219",".454"
"FBgn0011273","FBgn0032934","Acam","CG8679","PPI: Curagen two-hybrid","-.0839",".33"
"FBgn0000046","FBgn0015550","Act87E","tap","PPI: Curagen two-hybrid","-.1831",".261"
"FBgn0037555","FBgn0031132","Ada2b","CG15450","PPI: Curagen two-hybrid","-.2942",".27"
"FBgn0037555","FBgn0023526","Ada2b","CG2865","PPI: Curagen two-hybrid",".4946",".246"
"FBgn0038341","FBgn0031626","AdamTS-A","CG15631","PPI: Curagen two-hybrid","-.1832",".406"
"FBgn0038341","FBgn0042102","AdamTS-A","CG18745","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.0032",".502"
"FBgn0038341","FBgn0030734","AdamTS-A","CG9911","PPI: Curagen two-hybrid",".3026",".398"
"FBgn0026602","FBgn0028292","Ady43A","ric8a","PPI: Curagen two-hybrid","-.1577",".426"
"FBgn0026602","FBgn0086362","Ady43A","spn-F","PPI: Curagen two-hybrid","-.0357",".447"
"FBgn0033754","FBgn0034534","Ak6","maf-S","PPI: Curagen two-hybrid",".155",".429"
"FBgn0029105","FBgn0031068","alpha-Catr","Alr","PPI: Curagen two-hybrid",".2734",".395"
"FBgn0029105","FBgn0034502","alpha-Catr","CG13871","PPI: Curagen two-hybrid",".0411",".509"
"FBgn0029105","FBgn0034461","alpha-Catr","CG15124","PPI: Curagen two-hybrid",".0455",".534"
"FBgn0029105","FBgn0039972","alpha-Catr","CG17018","PPI: Curagen two-hybrid","-.2645",".4"
"FBgn0029105","FBgn0032485","alpha-Catr","CG9426","PPI: Curagen two-hybrid",".1414",".562"
"FBgn0029105","FBgn0036617","alpha-Catr","Cpr72Ea","PPI: Curagen two-hybrid",".0821",".584"
"FBgn0029105","FBgn0015926","alpha-Catr","dah","PPI: Curagen two-hybrid","-.1911",".498"
"FBgn0029105","FBgn0001225","alpha-Catr","Hsp26","PPI: Curagen two-hybrid","-.175",".427"
