"Gen1","Gene2","Symbol1","Symbol2","Table Names","Weighted Correlation","Confidence"
"FBgn0020238","FBgn0037379","14-3-3epsilon","CG10979","PPI: Curagen two-hybrid","-.016",".258"
"FBgn0038984","FBgn0001225","AdipoR","Hsp26","PPI: Curagen two-hybrid","-.1397",".399"
"FBgn0013746","FBgn0037120","alien","CG11247","PPI: Curagen two-hybrid",".4645",".395"
"FBgn0013746","FBgn0038814","alien","CG15923","PPI: Curagen two-hybrid","-.2554",".34"
"FBgn0013746","FBgn0027054","alien","CSN4","PPI: Flybase Curated PPI|PPI: DPiM coAP complex",".8104",".63"
"FBgn0013746","FBgn0027053","alien","CSN5","PPI: From other databases",".8244",".544"
"FBgn0013746","FBgn0028837","alien","CSN6","PPI: Flybase Curated PPI|PPI: From other databases",".8053",".577"
"FBgn0013746","FBgn0028836","alien","CSN7","PPI: Flybase Curated PPI|PPI: From other databases",".7143",".562"
"FBgn0013746","FBgn0011277","alien","HLH4C","PPI: Curagen two-hybrid",".0195",".339"
"FBgn0010215","FBgn0015609","alpha-Cat","CadN","PPI: Flybase Curated PPI|PPI: From other databases",".5404",".382"
"FBgn0029105","FBgn0034502","alpha-Catr","CG13871","PPI: Curagen two-hybrid",".0411",".509"
"FBgn0029105","FBgn0001225","alpha-Catr","Hsp26","PPI: Curagen two-hybrid","-.175",".427"
"FBgn0250791","FBgn0024975","alphaSnap","CG2712","PPI: Finley lab two-hybrid|PPI: From other databases","-.1301",".366"
"FBgn0030749","FBgn0033017","AnxB11","CG10465","PPI: Curagen two-hybrid",".074",".438"
"FBgn0000083","FBgn0027585","AnxB9","CG8740","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".4592",".372"
"FBgn0261854","FBgn0036992","aPKC","CG11796","PPI: Curagen two-hybrid",".0701",".358"
"FBgn0017418","FBgn0026316","ari-1","Ubc10","PPI: Flybase Curated PPI|PPI: From other databases",".2731",".479"
"FBgn0000117","FBgn0015609","arm","CadN","PPI: Flybase Curated PPI|PPI: From other databases",".442",".382"
"FBgn0065032","FBgn0037379","Arpc3B","CG10979","PPI: Curagen two-hybrid","-.0452",".469"
"FBgn0029095","FBgn0025613","aru","CG3081","PPI: Curagen two-hybrid",".2986",".398"
"FBgn0029095","FBgn0040736","aru","IM3","PPI: Curagen two-hybrid","-.2245",".421"
"FBgn0034606","FBgn0261800","ASPP","LanB1","PPI: Curagen two-hybrid",".2194",".374"
"FBgn0039509","FBgn0032940","bigmax","Mondo","PPI: Curagen two-hybrid|PPI: Flybase Curated PPI",".8493",".583"
"FBgn0045759","FBgn0052447","bin","CG32447","PPI: Finley lab two-hybrid","-.0357",".387"
"FBgn0032105","FBgn0038330","borr","CG14868","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.2239",".427"
"FBgn0032105","FBgn0034259","borr","P32","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".2777",".448"
"FBgn0032105","FBgn0035638","borr","Tektin-C","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.1659",".416"
"FBgn0030434","FBgn0031036","Brms1","CG14220","PPI: Flybase Curated PPI|PPI: DPiM coAP complex",".9",".451"
"FBgn0030434","FBgn0038546","Brms1","CG7379","PPI: DPiM coAP complex",".9299",".333"
"FBgn0000228","FBgn0000370","Bsg25D","crc","PPI: Curagen two-hybrid","-.0314",".343"
"FBgn0263111","FBgn0052447","cac","CG32447","PPI: Finley lab two-hybrid",".0176",".357"
"FBgn0031114","FBgn0037717","cactin","CG8301","PPI: Curagen two-hybrid",".3656",".41"
"FBgn0030954","FBgn0052447","CCKLR-17D3","CG32447","PPI: Finley lab two-hybrid",".8325",".46"
"FBgn0284436","FBgn0052105","CCT8","Lmx1a","PPI: Finley lab two-hybrid",".0757",".283"
"FBgn0265574","FBgn0052230","Cdc5","ND-MLRQ","PPI: Curagen two-hybrid","-.1952",".162"
"FBgn0004107","FBgn0033491","Cdk2","CG18011","PPI: Finley lab two-hybrid",".7982",".326"
"FBgn0016131","FBgn0013762","Cdk4","Cdk5","PPI: Finley lab two-hybrid|PPI: From other databases",".5173",".47"
"FBgn0013762","FBgn0027491","Cdk5","Cdk5alpha","PPI: Flybase Curated PPI","-.0151",".566"
"FBgn0013762","FBgn0034758","Cdk5","CG13510","PPI: Finley lab two-hybrid","-.2011",".362"
"FBgn0013762","FBgn0034869","Cdk5","CG13558","PPI: Finley lab two-hybrid","-.3148",".336"
"FBgn0013762","FBgn0035084","Cdk5","CG15861","PPI: Finley lab two-hybrid",".2751",".351"
"FBgn0013762","FBgn0039970","Cdk5","CG17508","PPI: Finley lab two-hybrid",".0186",".394"
"FBgn0013762","FBgn0023526","Cdk5","CG2865","PPI: Finley lab two-hybrid",".3602",".384"
"FBgn0013762","FBgn0051204","Cdk5","CG31204","PPI: Finley lab two-hybrid","-.3851",".36"
"FBgn0013762","FBgn0037011","Cdk5","CG4858","PPI: Finley lab two-hybrid",".2634",".425"
"FBgn0013762","FBgn0027572","Cdk5","CG5009","PPI: Finley lab two-hybrid","-.1793",".401"
"FBgn0013762","FBgn0035641","Cdk5","CG5568","PPI: Finley lab two-hybrid",".4318",".352"
"FBgn0013762","FBgn0032196","Cdk5","CG5708","PPI: Finley lab two-hybrid",".458",".422"
"FBgn0013762","FBgn0032192","Cdk5","CG5731","PPI: Finley lab two-hybrid","-.1115",".384"
"FBgn0013762","FBgn0027581","Cdk5","CG6191","PPI: Finley lab two-hybrid",".141",".461"
"FBgn0013762","FBgn0032361","Cdk5","CG6488","PPI: Finley lab two-hybrid",".3683",".383"
"FBgn0013762","FBgn0035334","Cdk5","CG8993","PPI: Finley lab two-hybrid","-.3749",".4"
"FBgn0013762","FBgn0000319","Cdk5","Chc","PPI: Curagen two-hybrid",".4288",".328"
"FBgn0013762","FBgn0261714","Cdk5","Cpn","PPI: Finley lab two-hybrid|PPI: From other databases","-.0889",".34"
"FBgn0013762","FBgn0000377","Cdk5","crn","PPI: Finley lab two-hybrid",".5996",".344"
"FBgn0013762","FBgn0262081","Cdk5","Csk","PPI: Finley lab two-hybrid",".1368",".359"
