"Gen1","Gene2","Symbol1","Symbol2","Table Names","Weighted Correlation","Confidence"
"FBgn0004907","FBgn0000416","14-3-3zeta","Sap-r","PPI: Curagen two-hybrid","-.3397",".544"
"FBgn0260793","FBgn0024841","2mit","Pcd","PPI: Curagen two-hybrid","-.1487",".417"
"FBgn0052016","FBgn0037473","4E-T","CG10068","PPI: Curagen two-hybrid",".4757",".389"
"FBgn0052016","FBgn0031608","4E-T","CG15435","PPI: Curagen two-hybrid",".6332",".418"
"FBgn0052016","FBgn0086758","4E-T","chinmo","PPI: Curagen two-hybrid","-.2083",".397"
"FBgn0011294","FBgn0259111","a5","Ndae1","PPI: Curagen two-hybrid","-",".404"
"FBgn0023130","FBgn0086758","a6","chinmo","PPI: Curagen two-hybrid","-.2259",".44"
"FBgn0023130","FBgn0038834","a6","RpS30","PPI: Curagen two-hybrid","-",".234"
"FBgn0011273","FBgn0031176","Acam","CG1678","PPI: Curagen two-hybrid","-.0998",".322"
"FBgn0011273","FBgn0027108","Acam","Inx2","PPI: Curagen two-hybrid","-.2735",".33"
"FBgn0011273","FBgn0025726","Acam","unc-13","PPI: Curagen two-hybrid","-.1084",".357"
"FBgn0027620","FBgn0043002","Acf","Chrac-14","PPI: Flybase Curated PPI|PPI: From other databases",".7967",".586"
"FBgn0027620","FBgn0043001","Acf","Chrac-16","PPI: Flybase Curated PPI|PPI: From other databases",".8931",".524"
"FBgn0002855","FBgn0038984","Acp26Aa","AdipoR","PPI: Curagen two-hybrid",".3368",".393"
"FBgn0002855","FBgn0039380","Acp26Aa","CG5890","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.0366",".433"
"FBgn0002855","FBgn0050404","Acp26Aa","Tango11","PPI: Curagen two-hybrid",".0374",".396"
"FBgn0025115","FBgn0031690","Acyp","CG7742","PPI: Curagen two-hybrid",".833",".399"
"FBgn0028658","FBgn0026090","Adat1","CG14812","PPI: Curagen two-hybrid",".333",".4"
"FBgn0038172","FBgn0046258","Adgf-D","CG12880","PPI: Finley lab two-hybrid","-.0914",".373"
"FBgn0038172","FBgn0038568","Adgf-D","CG14315","PPI: Finley lab two-hybrid",".2146",".359"
"FBgn0026602","FBgn0036396","Ady43A","CG17359","PPI: Curagen two-hybrid","-.2018",".372"
"FBgn0026602","FBgn0030984","Ady43A","tgy","PPI: Curagen two-hybrid","-.1331",".393"
"FBgn0041171","FBgn0025741","ago","PlexA","PPI: Hybrigenics two-hybrid",".6567",".449"
"FBgn0014455","FBgn0031060","Ahcy","CG14231","PPI: Curagen two-hybrid",".3933",".278"
"FBgn0033351","FBgn0035945","AIMP1","CG5026","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".1197",".396"
"FBgn0036515","FBgn0032768","AIMP2","CG17564","PPI: Curagen two-hybrid","-.295",".349"
"FBgn0010379","FBgn0035792","Akt1","CG7548","PPI: Finley lab two-hybrid","-.376",".314"
"FBgn0010379","FBgn0001148","Akt1","gsb","PPI: Finley lab two-hybrid","-",".337"
"FBgn0010379","FBgn0042630","Akt1","Sox21b","PPI: Finley lab two-hybrid",".1485",".372"
"FBgn0010548","FBgn0036895","Aldh-III","ms(3)76Cc","PPI: Curagen two-hybrid",".1631",".37"
"FBgn0259170","FBgn0086912","alpha-Man-Ia","mbm","PPI: Curagen two-hybrid",".4021",".419"
